objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202212130225579m040410,02:25:57.954 -04:04:10.881,36.49147810543872,-4.069689355256508,36.49153118040465,-4.069588154732284,10,2022-12-13T02:26:08.694,23.030365399748767,g,2022-12-16T02:09:33.208,22.406450931187273,i,2022-12-16T02:09:33.208,22.406450931187273,i,0364m040_6872,36.49173596435801,-4.069435915639465,20.81011399626732,19.879196882247925,19.243927597999573,nan,nan,NONE,NONE
T202212130225578m045242,02:25:57.880 -04:52:42.184,36.49116710991843,-4.878384664605216,36.49120939679626,-4.878360252470949,11,2022-12-13T02:26:08.694,23.148985149230946,g,2022-12-16T02:07:34.407,21.79524007116994,i,2022-12-16T02:09:33.208,21.943651606492047,i,0364m050_4827,36.49130100588502,-4.878029411899058,20.64627915620804,19.985970854759216,19.488289952278137,nan,nan,NONE,NONE
A202212130216234m045940,02:16:23.448 -04:59:40.734,34.09770324102295,-4.994648562463301,34.09770076362361,-4.99465254645396,12,2022-12-13T02:04:23.857,20.49403335592991,g,2022-12-16T01:40:40.020,20.179808257616173,g,2022-12-16T01:47:45.418,20.418947175234287,i,0342m050_157,34.09773220910249,-4.994578657858986,20.013584047555923,19.582533538341522,19.293541312217712,0.15173999965190887,nan,spec,GAMA-DR3
A202212130225103m045830,02:25:10.319 -04:58:30.038,36.29299824523348,-4.975010628126628,36.29302156748497,-4.975010962620821,12,2022-12-13T02:26:08.694,22.573708254196603,g,2022-12-16T02:07:34.407,22.18216651992982,i,2022-12-16T02:09:33.208,22.40388455730564,i,0362m050_7003,36.29304203236899,-4.974986745024784,24.27306041121483,22.977743335068226,22.329109348356724,nan,nan,NONE,NONE
T202212130229005m045926,02:29:00.594 -04:59:26.798,37.25247502553096,-4.99077745758879,37.25245236602852,-4.990779578547232,12,2022-12-13T02:26:08.694,20.63195485960026,g,2022-12-16T02:05:55.300,19.783671576321236,r,2022-12-16T02:09:33.208,19.93507528896395,i,0372m050_5021,37.25321462095823,-4.990689980640228,17.769330739974976,16.886816024780273,16.285006403923035,0.07576999813318253,nan,spec,GAMA-DR3
C202212130218247m040808,02:18:24.736 -04:08:08.043,34.60306740477789,-4.135567581134761,34.60307224199346,-4.135538771043282,5,2022-12-13T02:08:02.386,22.908712909224164,r,2022-12-16T01:44:06.567,22.660666179713395,r,2022-12-16T01:47:45.418,23.000828622116515,i,0346m042_1798,34.6032055706,-4.135439062344527,21.239106506109238,20.650331377983093,20.294732749462128,nan,nan,NONE,NONE
C202212130226271m045343,02:26:27.161 -04:53:43.641,36.61317271678625,-4.895455984348276,36.61317242066904,-4.895478544563184,8,2022-12-13T02:26:08.694,23.040291069681608,g,2022-12-13T02:31:24.127,22.166434289016024,r,2022-12-16T02:09:33.208,22.276492536171776,i,0367m050_504,36.61317717221502,-4.895572230373968,22.61929949745536,20.83881512284279,19.964092671871185,nan,nan,NONE,NONE
T202212130227101m043509,02:27:10.139 -04:35:09.450,36.79224741643976,-4.585958511808523,36.79224741643976,-4.585958511808523,8,2022-12-13T02:26:08.694,22.586066763473923,g,2022-12-16T02:04:17.038,22.326972423582063,r,2022-12-16T02:05:55.300,22.43097004526466,r,0367m045_6946,36.79145544136353,-4.584850678438293,22.425860781222582,22.16892022639513,22.968219630420208,nan,nan,NONE,NONE
C202212130217432m045054,02:17:43.248 -04:50:54.010,34.43020197873206,-4.848336114258368,34.43009490165268,-4.848294166370821,9,2022-12-13T02:04:23.857,23.62866331381654,g,2022-12-16T01:44:06.567,22.30614817616715,r,2022-12-16T01:47:45.418,22.619376427661727,i,0344m047_2819,34.43021666456882,-4.848206603667646,23.40749740600586,22.440926623530686,22.071620300412178,nan,nan,NONE,NONE
