"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"59830","AT 2020jxk","16:15:19.594","+30:57:06.36","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20dav","PS1 - GPC1","","1","1","","21.21","g-Sloan","2020-03-23 13:46:33.600","YSE_Bot1","","TESS-active sector/s (25,26);TESS-Sector25"
"59723","AT 2020jti","15:48:39.247","+27:35:16.94","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20czf","PS1 - GPC1","","1","1","","20.58","g-Sloan","2020-03-23 12:27:21.600","YSE_Bot1","",""
"59629","AT 2020jpu","10:26:26.733","+05:08:31.76","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cyn","PS1 - GPC1","","1","1","","20.64","r-Sloan","2020-01-23 13:58:04.800","YSE_Bot1","",""
"59627","AT 2020jps","12:26:48.132","+12:23:10.76","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cym","PS1 - GPC1","","1","1","","20.4","i-Sloan","2020-03-24 12:18:43.200","YSE_Bot1","",""
"59626","AT 2020jpr","12:20:24.891","+08:36:21.60","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cyl","PS1 - GPC1","","1","1","","19.9","i-Sloan","2020-01-01 15:46:04.800","YSE_Bot1","",""
"59422","AT 2020jhv","16:13:05.843","+20:53:19.72","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cup","PS1 - GPC1","","1","1","","19.79","z-Sloan","2020-02-03 15:47:31.200","YSE_Bot1","",""
"59394","AT 2020jgv","07:28:58.116","+30:44:08.31","","","","","SGLF","ZTF","","ZTF","ZTF20aampiit","P48 - ZTF-Cam","","1","1","","20.326","g-ZTF","2020-02-02 04:28:37.000","Perez-Fournon","",""
"59389","AT 2020jgq","15:48:15.784","+21:01:29.18","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cuf","PS1 - GPC1","","1","1","","19.27","g-Sloan","2020-01-30 15:41:45.600","YSE_Bot1","",""
"59370","AT 2020jfx","14:59:21.916","+39:46:48.91","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cts","PS1 - GPC1","","1","1","","20.99","r-Sloan","2020-01-20 15:43:12.000","YSE_Bot1","",""
"59292","AT 2020jcz","08:54:56.573","+28:46:48.33","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cth","PS1 - GPC1","","1","1","","21.46","r-Sloan","2020-01-16 13:09:07.200","YSE_Bot1","",""
"59242","AT 2020jbd","15:40:20.901","+13:23:29.19","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20csk","PS1 - GPC1","","1","1","","19.77","r-Sloan","2020-03-24 14:48:28.800","YSE_Bot1","",""
