"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"51765"	"AT 2020io"	"09:27:37.978"	"+08:57:57.99"	""	""	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaavzns"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.14"	"r-ZTF"	"2020-01-01 10:14:57.000"	"ZTF_AMPEL_NEW"	""	""
"51763"	"SN 2020in"	"09:53:01.850"	"+20:14:03.53"	"SN IIn"	"0.11"	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	"ZTF"	"Pan-STARRS1; ZTF"	"ZTF20aaaweke"	"P48 - ZTF-Cam, PS1 - GPC1"	"APO-3.5m - DIS"	"1"	"1"	""	"19.56"	"r-ZTF"	"2020-01-01 10:19:49.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51762"	"AT 2020im"	"13:21:09.221"	"+68:58:33.57"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19adcfxxe"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.7"	"g-ZTF"	"2020-01-02 12:50:36.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51761"	"AT 2020il"	"09:05:57.599"	"+56:27:00.43"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19adcdgms"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.57"	"r-ZTF"	"2020-01-02 11:23:28.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51757"	"AT 2020ik"	"05:53:09.558"	"+59:11:20.77"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19abvhdwj"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"17.26"	"r-ZTF"	"2020-01-03 10:16:20.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51756"	"AT 2020ij"	"07:03:07.803"	"+70:02:33.79"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19aaneoml"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"18.98"	"g-ZTF"	"2020-01-01 11:40:16.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51754"	"AT 2020ii"	"09:49:42.619"	"+61:30:20.62"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF18acqrcks"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.89"	"r-ZTF"	"2020-01-01 10:30:38.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51753"	"AT 2020ih"	"06:02:15.987"	"+53:42:35.38"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF17aabdxmp"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"18.33"	"g-ZTF"	"2020-01-05 10:48:50.000"	"ZTF_AMPEL_COMPLETE"	""	""
"51752"	"AT 2020ig"	"03:38:43.350"	"+41:24:08.57"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ap"	"PS1 - GPC1"	""	"1"	"1"	""	"21.36"	"i-Sloan"	"2020-01-01 07:14:52.000"	"PS1_Bot1"	""	""
"51751"	"AT 2020if"	"10:35:02.222"	"+07:29:36.87"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ao"	"PS1 - GPC1"	""	"1"	"1"	""	"21.54"	"w-PS1"	"2020-01-02 13:29:16.000"	"PS1_Bot1"	""	""
"51750"	"AT 2020ie"	"08:31:29.820"	"-04:25:51.90"	""	""	""	""	"MASTER"	"MASTER"	""	"MASTER"	"MASTER OT J083129.82-042551.9"	"Other - Other"	""	"1"	"1"	""	"16.6"	"Clear-"	"2020-01-05 23:54:44.000"	"MASTER"	""	""
"51749"	"AT 2020id"	"12:01:17.291"	"-04:04:43.70"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20an"	"PS1 - GPC1"	""	"1"	"1"	""	"21.44"	"w-PS1"	"2020-01-02 15:00:00.000"	"PS1_Bot1"	""	""
"51748"	"AT 2020ic"	"06:44:27.842"	"+52:10:13.50"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20am"	"PS1 - GPC1"	""	"1"	"1"	""	"21.92"	"w-PS1"	"2020-01-02 10:49:26.000"	"PS1_Bot1"	""	""
"51747"	"AT 2020ib"	"11:55:11.648"	"-39:30:09.81"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20asq"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"18.179"	"orange-ATLAS"	"2020-01-03 13:24:57.000"	"ATLAS_Bot1"	""	""
"51746"	"AT 2020ia"	"08:27:42.005"	"-16:11:26.92"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20asp"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"18.641"	"orange-ATLAS"	"2020-01-03 12:00:00.000"	"ATLAS_Bot1"	""	""
"51745"	"SN 2020hz"	"05:31:10.507"	"+01:43:09.02"	"SN Ia"	"0.049"	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	"ZTF"	"ATLAS; ZTF"	"ZTF20aadfyjl"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	"APO-3.5m - DIS"	"1"	"1"	""	"18.73"	"g-ZTF"	"2020-01-05 02:38:55.000"	"ZTF_AMPEL_NEW"	""	""
"51744"	"AT 2020hy"	"10:04:50.525"	"-12:50:58.51"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aabqniw"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.11"	"r-ZTF"	"2020-01-02 11:01:58.000"	"ZTF_AMPEL_NEW"	""	""
"51743"	"AT 2020hx"	"09:57:37.660"	"-18:10:42.66"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aabpntv"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.02"	"r-ZTF"	"2020-01-02 11:02:36.000"	"ZTF_AMPEL_NEW"	""	""
"51742"	"AT 2020hw"	"23:38:44.051"	"+30:31:23.71"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aabbvry"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"18.62"	"g-ZTF"	"2020-01-01 02:55:54.000"	"ZTF_AMPEL_NEW"	""	""
"51740"	"AT 2020hv"	"03:09:54.416"	"+25:34:13.38"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aabbuck"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.69"	"r-ZTF"	"2020-01-02 03:29:57.000"	"ZTF_AMPEL_NEW"	""	""
"51739"	"AT 2020hu"	"10:36:59.114"	"+80:58:24.59"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaayrrj"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.33"	"g-ZTF"	"2020-01-01 12:23:49.000"	"ZTF_AMPEL_NEW"	""	""
"51738"	"SN 2020ht"	"07:12:22.683"	"+60:50:43.47"	"SN Ia"	"0.065"	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	"ZTF"	"ATLAS; ZTF"	"ZTF20aaaxrad"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"19.24"	"g-ZTF"	"2020-01-01 11:22:07.000"	"ZTF_AMPEL_NEW"	""	""
"51737"	"AT 2020hs"	"09:36:12.107"	"-06:19:00.04"	""	""	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aaaxdvw"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.24"	"g-ZTF"	"2020-01-01 11:05:23.000"	"ZTF_AMPEL_NEW"	""	""
"51736"	"SN 2020hr"	"09:18:29.701"	"+28:08:29.82"	"SN Ia"	"0.0821"	""	""	"ZTF, ATLAS, YSE, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	"ZTF"	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aaavvlv"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"20.56"	"r-ZTF"	"2020-01-01 10:20:28.000"	"ZTF_AMPEL_NEW"	""	""
"51735"	"AT 2020hq"	"04:24:43.004"	"+17:42:23.57"	""	""	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaacdcp"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.52"	"r-ZTF"	"2020-01-04 04:05:43.000"	"ZTF_AMPEL_NEW"	""	""
"51734"	"AT 2020hp"	"07:39:50.760"	"+35:03:52.75"	""	""	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF19adbwsct"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.59"	"r-ZTF"	"2020-01-04 10:19:11.000"	"ZTF_AMPEL_NEW"	""	""
"51731"	"AT 2020ho"	"22:22:30.732"	"+34:12:06.54"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF18acawvqe"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"15.5"	"r-ZTF"	"2020-01-02 02:22:00.000"	"ZTF_AMPEL_NEW"	""	""
"51730"	"AT 2020hn"	"11:55:47.230"	"-04:08:16.17"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20al"	"PS1 - GPC1"	""	"1"	"1"	""	"20.51"	"w-PS1"	"2020-01-02 15:00:00.000"	"PS1_Bot1"	""	""
"51729"	"AT 2020hm"	"10:17:52.433"	"+01:41:59.01"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20aj"	"PS1 - GPC1"	""	"1"	"1"	""	"20.81"	"w-PS1"	"2020-01-02 13:39:21.000"	"PS1_Bot1"	""	""
"51728"	"AT 2020hl"	"10:08:17.208"	"+07:01:03.09"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ai"	"PS1 - GPC1"	""	"1"	"1"	""	"21.97"	"w-PS1"	"2020-01-02 13:27:50.000"	"PS1_Bot1"	""	""
