"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"52431"	"SN 2020abu"	"10:30:49.217"	"+19:43:31.72"	"SN Ia"	"0.088227"	""	""	"ZTF, ATLAS, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	"ZTF"	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aafrjqw"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"20.37"	"g-ZTF"	"2020-01-07 11:35:31.000"	"ZTF_Bot1"	""	""
"52426"	"AT 2020abt"	"10:25:57.652"	"+82:40:48.39"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aafaejx"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.56"	"g-ZTF"	"2020-01-02 10:23:31.000"	"ZTF_TESS"	""	""
"52425"	"AT 2020abs"	"14:09:24.288"	"+01:02:26.57"	""	""	""	""	"SGLF"	"ZTF"	""	"ZTF"	"ZTF20aaerooz"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.573"	"g-ZTF"	"2020-01-04 12:32:33.000"	"Perez-Fournon"	""	""
"52424"	"AT 2020abr"	"02:03:57.528"	"+44:17:46.24"	""	""	""	""	"SGLF"	"ZTF"	""	"ZTF"	"ZTF20aafaclf"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.03"	"g-ZTF"	"2020-01-11 02:55:12.000"	"Perez-Fournon"	""	""
"52423"	"AT 2020abq"	"07:39:49.709"	"+64:29:38.05"	""	""	""	""	"SGLF, ATLAS"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aafizfi"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.351"	"g-ZTF"	"2020-01-11 03:24:00.000"	"Perez-Fournon"	""	""
"52422"	"AT 2020abp"	"08:47:58.861"	"+25:53:48.52"	""	""	"SDSS J084758.87+255348.7"	"0.318"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aafzfjy"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.6572"	"r-ZTF"	"2020-01-16 05:36:06.000"	"ALeRCE"	""	""
"52421"	"AT 2020abo"	"06:47:49.003"	"+38:22:42.33"	""	""	""	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aafytzs"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.3809"	"r-ZTF"	"2020-01-16 05:18:23.000"	"ALeRCE"	""	""
"52420"	"AT 2020abn"	"08:30:35.458"	"+41:10:17.68"	""	""	"WISEA J083035.71+411016.6"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aafyodo"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.2309"	"r-ZTF"	"2020-01-16 05:16:19.000"	"ALeRCE"	""	""
"52419"	"AT 2020abm"	"10:06:42.721"	"+03:10:33.47"	""	""	"WISEA J100642.35+031034.9"	"0.16591"	"ALeRCE, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aageyxs"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.7513"	"r-ZTF"	"2020-01-16 07:39:40.000"	"ALeRCE"	""	""
"52418"	"AT 2020abl"	"16:19:09.927"	"+53:45:38.13"	""	""	"WISEA J161910.40+534534.3"	"0.130148"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aagiiik"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.8925"	"g-ZTF"	"2020-01-16 11:12:00.000"	"ALeRCE"	""	""
