"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"52982"	"AT 2020avb"	"22:41:41.297"	"+15:28:06.91"	""	""	"SDSS J224141.04+152806.4"	"0.08"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aahswgp"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.5293"	"g-ZTF"	"2020-01-25 02:40:44.000"	"ALeRCE"	""	""
"52981"	"AT 2020ava"	"00:17:45.538"	"-11:55:52.16"	""	""	"SDSS J001745.42-115553.8"	"0.084"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aahstif"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.8483"	"g-ZTF"	"2020-01-25 02:34:53.000"	"ALeRCE"	""	""
"52980"	"AT 2020auz"	"00:58:44.013"	"-15:39:57.32"	""	""	"WISEA J005843.94-153957.4"	""	"ALeRCE, ATLAS, ZTF"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aahsoxr"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.1735"	"r-ZTF"	"2020-01-25 02:08:48.000"	"ALeRCE"	""	""
"52979"	"AT 2020auy"	"17:21:54.473"	"+32:08:16.81"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaifyny"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.42"	"r-ZTF"	"2020-01-25 12:49:50.000"	"ZTF_AMPEL_NEW"	""	""
"52978"	"AT 2020aux"	"17:00:12.840"	"+32:32:21.76"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaifygw"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.45"	"r-ZTF"	"2020-01-25 12:49:50.000"	"ZTF_AMPEL_NEW"	""	""
"52977"	"AT 2020auw"	"14:17:06.548"	"-03:45:07.17"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaigcux"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.42"	"g-ZTF"	"2020-01-04 12:32:32.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52976"	"SN 2020auv"	"16:34:12.532"	"+37:05:51.78"	"SLSN-I"	"0.25"	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	"ZTF"	"ATLAS; ZTF"	"ZTF20aaifybu"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.47"	"g-ZTF"	"2020-01-06 13:21:51.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52975"	"AT 2020auu"	"16:14:39.811"	"+19:24:20.39"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aadccjf"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.44"	"g-ZTF"	"2020-01-04 12:38:25.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52974"	"SN 2020aut"	"14:10:13.340"	"-06:49:20.82"	"SN Ic"	"0.033703"	""	""	"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1"	"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1"	"UCSC, ZTF"	"ATLAS; GaiaAlerts; Pan-STARRS1; ZTF"	"ZTF20aaiftgi"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1"	"Lick-3m - KAST, P60 - SEDM"	"1"	"1"	""	"18.78"	"r-ZTF"	"2020-01-25 12:30:49.000"	"ZTF_AMPEL_NEW"	""	""
"52973"	"AT 2020aus"	"13:50:29.944"	"-06:33:46.76"	""	""	""	""	"ZTF, ATLAS, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	""	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aaiftbn"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.74"	"r-ZTF"	"2020-01-25 12:30:49.000"	"ZTF_AMPEL_NEW"	""	""
"52972"	"AT 2020aur"	"14:13:02.134"	"-13:18:13.33"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaifsmw"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.5"	"r-ZTF"	"2020-01-25 12:30:49.000"	"ZTF_AMPEL_NEW"	""	""
"52971"	"AT 2020auq"	"15:01:55.453"	"+03:44:44.85"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaifsex"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.49"	"r-ZTF"	"2020-01-25 12:29:28.000"	"ZTF_AMPEL_NEW"	""	""
"52970"	"AT 2020aup"	"13:09:44.453"	"+12:29:13.69"	""	""	""	""	"ZTF, ATLAS"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aahrxgw"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.5"	"r-ZTF"	"2020-01-24 13:05:27.000"	"ZTF_AMPEL_NEW"	""	""
"52969"	"AT 2020auo"	"16:07:05.199"	"+65:41:49.76"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aahglfm"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.49"	"r-ZTF"	"2020-01-25 12:43:16.000"	"ZTF_AMPEL_NEW"	""	""
"52968"	"AT 2020aun"	"16:53:06.638"	"+53:59:14.17"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF18aatzuep"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.88"	"r-ZTF"	"2020-01-04 13:27:35.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52967"	"AT 2020aum"	"12:27:23.550"	"-16:42:16.89"	""	""	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaidnqk"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.6"	"g-ZTF"	"2020-01-25 09:59:36.000"	"ZTF_AMPEL_NEW"	""	""
"52966"	"SN 2020aul"	"11:59:17.704"	"-00:25:54.98"	"SN Ia"	"0.093"	""	""	"ZTF, Pan-STARRS1"	"ZTF, Pan-STARRS1"	"ZTF"	"Pan-STARRS1; ZTF"	"ZTF20aaideho"	"P48 - ZTF-Cam, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"19.07"	"g-ZTF"	"2020-01-25 09:33:47.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52965"	"AT 2020auk"	"12:38:08.392"	"-09:14:11.79"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaermng"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.74"	"g-ZTF"	"2020-01-08 13:00:52.000"	"ZTF_AMPEL_COMPLETE"	""	""
"52964"	"AT 2020auj"	"20:11:01.240"	"+28:17:23.10"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20akg"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.8"	"G-Gaia"	"2020-01-21 15:59:02.000"	"Gaia_Bot1"	""	""
"52963"	"AT 2020aui"	"20:31:51.460"	"+27:28:45.70"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20akf"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.89"	"G-Gaia"	"2020-01-22 03:56:09.000"	"Gaia_Bot1"	""	""
"52962"	"AT 2020auh"	"05:49:14.580"	"-35:44:08.45"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20ake"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"19.04"	"G-Gaia"	"2020-01-06 07:13:26.000"	"Gaia_Bot1"	""	""
