"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"53004"	"AT 2020avx"	"17:33:50.475"	"+36:11:02.07"	""	""	"WISEA J173350.60+361101.1"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaifypt"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.9106"	"r-ZTF"	"2020-01-25 12:49:50.000"	"ALeRCE"	""	""
"53003"	"AT 2020avw"	"17:03:33.709"	"+41:38:32.71"	""	""	"WHL J170334.1+413848"	"0.1392"	"ALeRCE, ZTF, ATLAS"	"ZTF, ATLAS"	""	"ATLAS; ZTF"	"ZTF20aaifxvp"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	""	"1"	"1"	""	"19.4392"	"r-ZTF"	"2020-01-25 12:49:11.000"	"ALeRCE"	""	""
"53002"	"AT 2020avv"	"17:04:29.930"	"+42:10:22.64"	""	""	"SDSS J170429.91+421023.3"	"0.19"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaifxvq"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.7762"	"r-ZTF"	"2020-01-25 12:49:11.000"	"ALeRCE"	""	""
"53001"	"SN 2020avu"	"17:13:21.720"	"+43:54:06.41"	"SN Ia"	"0.055"	"SDSS J171322.17+435409.0"	"0.048"	"ALeRCE, ZTF, GaiaAlerts"	"ZTF, GaiaAlerts"	"ZTF"	"GaiaAlerts; ZTF"	"ZTF20aaifyab"	"Gaia - Gaia-photometric, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"17.914"	"r-ZTF"	"2020-01-25 12:48:30.000"	"ALeRCE"	""	""
"53000"	"AT 2020avt"	"17:46:51.001"	"+50:56:08.42"	""	""	"SDSS J174650.70+505608.2"	"0.043"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaifxwj"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.4761"	"r-ZTF"	"2020-01-25 12:47:51.000"	"ALeRCE"	""	""
"52999"	"AT 2020avs"	"14:53:07.707"	"-04:04:28.42"	""	""	"WISEA J145307.47-040430.6"	""	"ALeRCE, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaiftus"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.8137"	"r-ZTF"	"2020-01-25 12:32:07.000"	"ALeRCE"	""	""
"52998"	"AT 2020avr"	"14:09:27.352"	"-03:33:08.12"	""	""	"GALEXMSC J140927.29-033308.6"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaifsfl"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.1098"	"r-ZTF"	"2020-01-25 12:30:10.000"	"ALeRCE"	""	""
"52997"	"AT 2020avq"	"12:00:11.914"	"-20:11:58.48"	""	""	"WISEA J120011.75-201156.4"	""	"ALeRCE, ATLAS, ZTF, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	""	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aaieyvg"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.3948"	"r-ZTF"	"2020-01-25 12:05:22.000"	"ALeRCE"	""	""
"52996"	"AT 2020avp"	"11:45:36.307"	"-19:43:38.89"	""	""	"WISEA J114536.32-194338.0"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaifbcg"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.3934"	"r-ZTF"	"2020-01-25 12:05:22.000"	"ALeRCE"	""	""
"52995"	"AT 2020avo"	"12:29:04.037"	"-17:20:28.23"	""	""	""	""	"ALeRCE, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaifdlw"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.8054"	"g-ZTF"	"2020-01-25 09:59:37.000"	"ALeRCE"	""	""
"52994"	"AT 2020avn"	"12:56:27.290"	"-07:01:00.22"	""	""	"WISEA J125627.30-070100.0"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaidmgl"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.4905"	"g-ZTF"	"2020-01-25 09:57:40.000"	"ALeRCE"	""	""
"52993"	"AT 2020avm"	"13:13:49.434"	"-09:04:08.55"	""	""	"WISEA J131349.34-090408.1"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaidmni"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.7617"	"g-ZTF"	"2020-01-25 09:57:40.000"	"ALeRCE"	""	""
"52992"	"AT 2020avl"	"13:29:33.468"	"-03:43:32.02"	""	""	"WISEA J132933.18-034330.7"	"0.130255"	"ALeRCE, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aaidmuz"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"20.2918"	"g-ZTF"	"2020-01-25 09:57:00.000"	"ALeRCE"	""	""
"52991"	"AT 2020avk"	"13:30:04.146"	"-01:21:21.73"	""	""	"WISEA J133004.24-012121.8"	"0.111021"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaidnaf"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.752"	"g-ZTF"	"2020-01-25 09:57:00.000"	"ALeRCE"	""	""
"52990"	"AT 2020avj"	"12:15:57.542"	"-04:52:34.02"	""	""	"WISEA J121557.44-045235.0"	""	"ALeRCE, ATLAS, ZTF, Pan-STARRS1"	"ZTF, ATLAS, Pan-STARRS1"	""	"ATLAS; Pan-STARRS1; ZTF"	"ZTF20aaidgbm"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"19.3039"	"g-ZTF"	"2020-01-25 09:35:06.000"	"ALeRCE"	""	""
"52989"	"AT 2020avi"	"10:28:19.931"	"+10:13:15.34"	""	""	"WISEA J102819.99+101317.5"	"0.161849"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaictbt"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.368"	"g-ZTF"	"2020-01-25 09:03:36.000"	"ALeRCE"	""	""
"52988"	"AT 2020avh"	"10:01:46.606"	"+23:31:02.46"	""	""	"SDSS J100146.61+233102.6"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaicgpu"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.6877"	"r-ZTF"	"2020-01-25 07:53:22.000"	"ALeRCE"	""	""
"52987"	"SN 2020avg"	"11:34:06.120"	"-09:01:18.41"	"SN Ia"	"0.0367"	"WISEA J113406.16-090116.2"	"0.036705"	"ALeRCE, ZTF, GaiaAlerts"	"ZTF, GaiaAlerts"	"ePESSTO+"	"GaiaAlerts; ZTF"	"ZTF20aaiawlj"	"Gaia - Gaia-photometric, P48 - ZTF-Cam"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.8924"	"r-ZTF"	"2020-01-25 07:34:20.000"	"ALeRCE"	""	""
"52986"	"SN 2020avf"	"11:02:59.420"	"-16:17:31.45"	"SN Ib"	"0.013006"	"NGC 3508"	"0.013006"	"ALeRCE, GaiaAlerts, ATLAS"	"ZTF, GaiaAlerts, ATLAS"	"ePESSTO+, ZTF"	"ATLAS; GaiaAlerts; ZTF"	"ZTF20aaiahra"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam"	"ESO-NTT - EFOSC2-NTT, P60 - SEDM"	"1"	"1"	""	"18.8005"	"r-ZTF"	"2020-01-25 07:33:02.000"	"ALeRCE"	""	""
"52985"	"AT 2020ave"	"10:43:48.147"	"-06:14:03.31"	""	""	"LCRS B104116.7-055818"	"0.133559"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aaiddtg"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.0471"	"r-ZTF"	"2020-01-25 07:32:23.000"	"ALeRCE"	""	""
"52984"	"AT 2020avd"	"05:01:10.782"	"-02:27:17.11"	""	""	"SDSS J050111.03-022715.1"	"0.219"	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aahwxer"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.3058"	"r-ZTF"	"2020-01-25 04:49:42.000"	"ALeRCE"	""	""
"52983"	"AT 2020avc"	"04:01:09.096"	"+10:33:00.47"	""	""	"WISEA J040109.05+103303.0"	""	"ALeRCE, Pan-STARRS1"	"ZTF, Pan-STARRS1"	""	"Pan-STARRS1; ZTF"	"ZTF20aahvhdn"	"P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"20.3233"	"r-ZTF"	"2020-01-25 04:18:35.000"	"ALeRCE"	""	""
