,Candidate,Instrument,Pipeline,Min_Date,Min_MJD,ra,dec,Max_Mag
60,DC22iongi,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,33.81801614159967,-5.325386329350465,22.6
61,DC22iongy,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.75667031683417,-4.4273731910748335,21.74
62,DC22ionha,DECam,DECAT_RK,2022-10-06T05:11:02.400,59858.216,35.010962705112114,-4.861131029931617,22.59
63,DC22ionhh,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.25666347920788,-4.325713697668014,22.95
64,DC22ionhk,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.764545326229666,-4.659735372893068,21.99
65,DC22ionie,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.82176744157363,-4.36156417410293,22.19
66,DC22ionjg,DECam,DECAT_RK,2022-10-02T06:17:16.800,59854.262,33.431145571766216,-4.818848151745948,23.64
67,DC22ionjl,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,35.068066031822845,-4.406156669145333,23.36
68,DC22ionjw,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,35.192612200781355,-4.354224246949241,22.77
69,DC22ionkr,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.382114662929496,-4.027977682811365,22.34
70,DC22ionlb,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.09282292928639,-5.340961556624774,22.66
71,DC22ionlf,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.271276925391696,-5.274829747934526,22.88
72,DC22ionlu,DECam,DECAT_RK,2022-10-02T06:14:24.000,59854.26,34.001499425253186,-4.641514385646841,20.76
73,DC22ionnf,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.489648602191394,-4.849820623845206,22.94
74,DC22ionnn,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.80546975646122,-5.448990891790413,22.18
75,DC22ionoa,DECam,DECAT_RK,2022-10-02T06:15:50.400,59854.261,33.605500675381585,-4.838460055995735,23.16
76,DC22ionrr,DECam,DECAT_RK,2022-10-02T06:11:31.200,59854.258,34.127374373440134,-5.068023066557446,22.31
77,DC22ionsl,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.37833578104368,-6.21612712962571,22.52
78,DC22ionst,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,35.5503183544453,-5.4680584588320045,22.3
79,DC22ionta,DECam,DECAT_RK,2022-10-02T06:12:57.600,59854.259,34.89473696993713,-5.107753247683511,22.5
80,DC22ionuj,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.213485991121374,-6.352342087291469,23.03
81,DC22ionum,DECam,DECAT_RK,2022-10-23T05:38:24.000,59875.235,34.05783760532215,-4.1408943073306546,23.27
82,DC22ionur,DECam,DECAT_RK,2022-10-02T06:21:36.000,59854.265,36.0445841941822,-5.968027960378263,22.8
