objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202302110955231p023459,09:55:23.122 +02:34:59.786,148.846343484145,2.583273931883838,148.8463163494419,2.583272959545165,30,2023-02-11T06:10:49.793,20.005531912253865,r,2023-02-23T02:35:11.138,19.441481508707206,r,2023-02-23T03:13:42.855,19.62955316134298,i,1488p025_1863,148.8472497275023,2.582905243270308,16.149603128433228,15.509883761405945,14.957297444343567,0.03142,1e-05,spec,SDSS-DR12
C202302140954164p022252,09:54:16.499 +02:22:52.857,148.5687460139913,2.381349360021568,148.5687124695425,2.381374306967387,42,2023-02-14T06:42:06.841,22.281555101160606,g,2023-02-23T03:01:28.106,21.96357523878984,i,2023-02-23T03:13:42.855,22.062906049706996,i,1486p025_1480,148.5687302148753,2.381083707742616,21.98943868279457,21.837228015065193,22.304094079881907,nan,nan,NONE,NONE
C202302141000033p031757,10:00:03.372 +03:17:57.230,150.0140515254019,3.299230761084628,150.0140173165975,3.29921219318285,45,2023-02-14T06:36:02.153,22.31398651730857,g,2023-02-23T02:29:07.010,21.396210447009604,r,2023-02-23T03:07:38.949,21.598276052374157,i,1500p032_1349,150.0138545334237,3.299243371807703,21.44338995218277,20.792399048805237,20.453288853168488,0.276,0.0941,phot,SDSS-DR12
T202302110958199p040142,09:58:19.967 +04:01:42.988,149.583199196293,4.02860788850286,149.5832405583785,4.028618886083612,51,2023-02-11T06:06:42.847,22.70637728440562,i,2023-02-23T02:39:46.509,19.55943912147517,g,2023-02-23T03:07:38.949,20.09629457497428,i,1495p040_2472,149.5829109115416,4.029375670218978,18.083517253398895,17.570741176605225,17.146551609039307,0.2294,0.069,phot,SDSS-DR12
T202301301001262p031752,10:01:26.298 +03:17:52.143,150.3595751313832,3.297817668836044,150.3595669325217,3.297801427529387,53,2023-01-30T05:37:16.521,23.4041525490164,g,2023-02-11T06:42:55.577,21.8863347032039,i,2023-02-23T03:07:38.949,22.681045409787597,i,1503p032_3116,150.3589853496171,3.298594187189783,19.06394273042679,18.552037477493286,18.208427727222443,0.1445,0.0299,phot,SDSS-DR12
C202302140959248p015141,09:59:24.899 +01:51:41.620,149.8537467480334,1.861561287120429,149.853764241286,1.861552439825517,60,2023-02-14T06:42:06.841,22.53595073641817,g,2023-02-23T02:47:23.529,21.849810361581802,r,2023-02-23T03:13:42.855,22.073371714131827,i,1498p017_2060,149.8536473299685,1.861400319297473,23.011289052665234,22.520919505041093,22.20352752134204,0.4489,nan,spec,NED
