objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202308030218441m041138,02:18:44.097 -04:11:38.255,34.68373759552264,-4.193959750885662,34.68363394971285,-4.194008967739138,7,2023-08-25T06:42:16.241,22.404815121206063,i,2023-10-04T06:35:30.638,22.20389573118449,i,2023-10-04T06:35:30.638,22.20389573118449,i,0346m042_6229,34.68387922965645,-4.193520893559623,24.915940314531326,24.42896530032158,24.059906601905823,nan,nan,NONE,NONE
C202308020220131m045114,02:20:13.087 -04:51:13.989,35.05453107934377,-4.853886047685769,35.05451192525175,-4.853865446839768,70,2023-08-02T07:17:40.461,19.99268252230395,g,2023-08-03T07:17:52.816,19.79672691126158,r,2023-10-06T06:38:36.181,20.110259951684256,i,0349m047_11030,35.05433903584498,-4.85401710245064,nan,23.316373229026794,21.226467490196228,nan,nan,NONE,NONE
T202309240227458m044005,02:27:45.778 -04:40:04.938,36.94074413001676,-4.668038441718871,36.94074413001676,-4.668038441718871,5,2023-09-24T06:49:55.581,22.247443051918165,r,2023-09-27T06:10:14.590,22.14240671888993,i,2023-09-27T06:10:14.590,22.14240671888993,i,0369m047_6734,36.9405359871284,-4.668543060133773,21.723177805542946,20.763312876224518,20.369247645139694,0.419058,nan,spec,NED
T202308020215511m040845,02:15:51.125 -04:08:44.668,33.96302361018866,-4.145741178979462,33.96307406216557,-4.145703746710844,53,2023-08-02T07:17:40.461,20.07835486743173,g,2023-08-04T08:12:07.171,19.635164164434777,g,2023-10-06T06:38:36.181,22.166921367684203,i,0339m042_7866,33.96262738759784,-4.145403501415739,19.09088134765625,18.085770905017853,17.426989674568176,0.056818,nan,spec,NED
C202308020219382m060401,02:19:38.172 -06:04:00.569,34.90905170742445,-6.066824791416205,34.90901102466859,-6.066770581166262,43,2023-08-02T07:28:33.358,20.800762821698875,g,2023-10-04T06:42:47.239,20.338476193143713,r,2023-10-06T06:45:52.864,20.377984229896846,r,0350m060_799,34.9091105704118,-6.066835746857815,19.707988798618317,19.647772908210754,19.332827031612396,nan,nan,NONE,NONE
A202308020219305m055643,02:19:30.488 -05:56:42.897,34.87703629899705,-5.945249222906399,34.87707256229103,-5.945260869298947,41,2023-08-02T07:28:33.358,20.150236762532003,g,2023-09-24T06:35:13.744,19.55896899236505,g,2023-10-06T06:49:32.259,20.587736796780575,i,0347m060_10431,34.8771115321091,-5.945293791243585,18.620261251926422,18.270610868930817,17.87558287382126,nan,nan,NONE,NONE
T202308220223004m044035,02:23:00.440 -04:40:34.929,35.75183481765913,-4.676369372610368,35.75186364204595,-4.67634117611426,36,2023-08-22T07:40:42.476,21.78240750748988,g,2023-08-31T05:49:24.530,20.145379202347826,g,2023-10-06T07:00:27.527,21.89450530191496,i,0357m047_10653,35.75593476191069,-4.677985227687912,23.20368990302086,22.01051466166973,nan,nan,nan,NONE,NONE
A202308130218472m051453,02:18:47.157 -05:14:52.599,34.6964885236501,-5.247944383756626,34.69649812164671,-5.247977421392788,35,2023-08-13T09:06:04.544,21.682799990169748,g,2023-08-25T06:40:37.023,20.752410016238606,r,2023-10-04T06:35:30.638,22.35104582256334,i,0347m052_5231,34.69657671971622,-5.247954406226642,21.29327490925789,20.744105130434036,20.405341386795044,nan,nan,NONE,NONE
T202308020225068m041801,02:25:06.840 -04:18:01.387,36.27850219238117,-4.300385361339903,36.27848039897331,-4.300385813133996,33,2023-08-02T07:46:28.972,21.35643417438611,i,2023-08-03T07:39:41.471,21.071318887963844,r,2023-09-24T06:55:24.066,22.694771056753044,i,0361m042_15676,36.27753374838539,-4.299871493581594,24.21269714832306,23.045679442584515,21.368616297841072,0.958845,nan,spec,NED
C202308030220245m053047,02:20:24.457 -05:30:47.470,35.10190729568292,-5.513186166629308,35.1018909398595,-5.513175437325418,32,2023-08-03T07:17:52.816,21.24556791668433,r,2023-08-13T09:11:23.546,20.743271765701095,r,2023-09-27T05:48:21.384,21.758068513034885,i,0350m055_9512,35.10201537450762,-5.513293557772392,19.98122364282608,19.231190383434296,18.658632040023804,0.213389,nan,spec,NED
C202308030227099m043732,02:27:09.851 -04:37:31.604,36.79104666930093,-4.625445808737692,36.79096583058377,-4.62545345521751,27,2023-08-03T07:39:41.471,22.51771517616958,r,2023-08-31T05:54:26.611,21.51869837701471,i,2023-10-04T06:57:22.769,21.928184643353347,i,0367m045_12231,36.79103265593971,-4.625584926039296,20.729704350233078,19.276581704616547,18.459658324718475,0.299012,nan,spec,NED
T202308020225216m061301,02:25:21.628 -06:13:01.425,36.34011857791736,-6.21706266435613,36.34013364088811,-6.217051400167598,27,2023-08-02T07:35:30.088,20.21353077295388,i,2023-08-02T07:37:29.482,20.177479922577298,i,2023-10-04T06:46:26.841,21.31066871997458,i,0363m062_7780,36.34035222971666,-6.218159537965493,15.485571026802063,14.660155177116394,14.035886526107788,0.05244,nan,spec,NED
C202308030224258m034508,02:24:25.805 -03:45:08.318,36.10752309661797,-3.752310641628174,36.10760521902984,-3.752292287364412,28,2023-08-03T07:41:21.318,22.1332060762462,r,2023-08-13T09:28:01.900,21.18514859633282,g,2023-09-24T06:55:24.066,22.490051442225706,i,0361m037_3732,36.10745909230191,-3.752041712708437,20.92178449034691,20.31226634979248,19.939483404159546,0.21899,nan,spec,NED
C202308020224150m064806,02:24:15.014 -06:48:06.339,36.06255911972914,-6.801761102898863,36.06253490443102,-6.801756990185809,28,2023-08-02T07:35:30.088,21.226887346617517,i,2023-08-04T08:26:44.440,21.08551365626508,r,2023-08-31T05:45:39.392,21.93858829784563,i,0360m067_5609,36.06269406164961,-6.801769634259129,21.21598869562149,20.437002032995224,19.94245857000351,nan,nan,NONE,NONE
T202308020224327m063843,02:24:32.696 -06:38:42.569,36.13623581356617,-6.645158326888509,36.13633257137796,-6.645073005614926,27,2023-08-02T07:35:30.088,21.40901960260169,i,2023-08-04T08:30:03.258,21.265515053651963,i,2023-10-04T06:46:26.841,22.002733440398643,i,0360m067_9272,36.13621780561117,-6.644439138354253,20.96105456352234,20.489280223846436,20.252225697040558,nan,nan,NONE,NONE
C202308020223107m062233,02:23:10.745 -06:22:33.313,35.79477365554492,-6.375920401647264,35.79484864917256,-6.375956653848494,25,2023-08-02T07:35:30.088,21.165507033393116,i,2023-08-03T07:32:06.767,20.9333109051325,i,2023-10-04T06:44:26.461,22.091519055025156,i,0358m062_5327,35.7949529414901,-6.376038356831145,19.090189337730408,17.920981347560883,17.182121872901917,nan,nan,NONE,NONE
T202308130216226m052920,02:16:22.627 -05:29:19.907,34.09428182653252,-5.488863274277542,34.09432132959304,-5.488912361032096,24,2023-08-13T09:15:04.174,22.23169440729435,i,2023-08-28T07:35:36.593,21.228688432696167,r,2023-10-04T06:35:30.638,22.58394469947949,i,0340m055_9404,34.09441706919937,-5.489121783514091,20.057328045368195,19.006276726722717,18.315409719944,0.148154,nan,spec,NED
T202308020224376m041008,02:24:37.610 -04:10:08.151,36.15671125879933,-4.168931084624925,36.1566453446785,-4.168975151002424,24,2023-08-02T07:43:09.811,21.076979870334295,r,2023-08-02T07:43:09.811,21.076979870334295,r,2023-08-31T05:56:23.890,22.073640547632447,i,0361m042_6736,36.15419177720588,-4.167484629025143,18.525758981704712,17.584407925605774,16.980807185173035,nan,nan,NONE,NONE
C202309240226060m051019,02:26:05.982 -05:10:19.423,36.52492829065047,-5.172062055439884,36.52493916208038,-5.172058931372952,24,2023-09-24T06:46:15.309,19.239380642956284,g,2023-09-24T06:49:55.581,19.20538361282766,r,2023-10-06T07:00:27.527,19.414488001403527,i,0364m052_12301,36.52507456874459,-5.172305221887107,18.808802366256714,18.14446657896042,17.65858232975006,0.137627,nan,spec,NED
C202308020228456m050232,02:28:45.584 -05:02:32.187,37.18993734415226,-5.042274193112354,37.189966023508,-5.04220473254197,22,2023-08-02T07:46:28.972,21.331368937781352,i,2023-10-04T06:55:23.867,20.95011422103201,i,2023-10-06T07:00:27.527,21.113763461328883,i,0372m050_6106,37.19010990266993,-5.042258995330269,19.61110293865204,18.225085139274597,17.325459122657776,nan,nan,NONE,NONE
C202308020220249m061732,02:20:24.876 -06:17:31.980,35.10365013068571,-6.292216852438219,35.10367906206461,-6.292084122158247,21,2023-08-02T07:32:12.707,20.73741649153636,r,2023-09-24T06:38:53.599,20.247062388452918,r,2023-10-06T06:45:52.864,20.600122013858932,r,0350m062_7946,35.10384611888676,-6.292128150806312,17.731494307518005,17.33684539794922,16.951857805252075,0.13952,nan,spec,NED
C202308020218561m062647,02:18:56.073 -06:26:46.989,34.73363756559349,-6.446386047224052,34.73363737821825,-6.446374590470349,19,2023-08-02T07:35:30.088,20.30753830225666,i,2023-08-28T07:50:12.805,19.9355572495079,i,2023-10-04T06:46:26.841,20.370100863084062,i,0348m065_1519,34.73376507112668,-6.446489448531868,20.18327698111534,18.81404221057892,17.72664725780487,nan,nan,NONE,NONE
C202309240223177m043759,02:23:17.671 -04:37:58.727,35.82363270231256,-4.632979923381912,35.82366258127705,-4.632952920963118,19,2023-09-24T06:46:15.309,22.46310834452248,g,2023-10-06T06:56:48.805,21.547247467315593,r,2023-10-06T07:00:27.527,21.767591752941936,i,0357m047_15271,35.82379984180467,-4.633008039070286,22.12672408670187,21.33679211139679,20.89922785758972,nan,nan,NONE,NONE
C202309240225149m044923,02:25:14.862 -04:49:23.108,36.31192538188099,-4.823085797737546,36.31192538188099,-4.823085797737546,17,2023-09-24T06:46:15.309,21.342327342322676,g,2023-09-24T06:46:15.309,21.342327342322676,g,2023-10-06T06:58:29.058,21.705021554939936,i,0362m047_15418,36.31203072509712,-4.823094366809383,20.465185344219208,20.082218796014786,19.88704562187195,0.164126,nan,spec,NED
T202309240225234m042854,02:25:23.398 -04:28:54.306,36.34749218501478,-4.481751752226102,36.3474765892397,-4.481771569755228,14,2023-09-24T06:46:15.309,21.798522597123565,g,2023-10-04T06:57:22.769,21.299847752889235,i,2023-10-06T06:56:48.805,21.422832548172604,r,0362m045_14312,36.34724110844642,-4.482152947978875,21.210369765758514,19.735578894615173,18.86193335056305,0.278,nan,spec,NED
