,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
0,A202204211504400p071109,0,226.1669445403147,7.186026476530155,0,3,0.993
1,A202204211420285p001609,0,215.1191477712088,0.2693718924314595,0,4,0.894
2,A202204211246401p072848,0,191.6672804953094,7.480092308083441,0,2,0.811
3,A202204211420063m002404,0,215.0265205331766,-0.4013562811291071,0,2,0.922
4,T202204211254313p050954,0,193.6307215109257,5.16511897956563,0,2,0.931
5,T202204211244430p054637,0,191.1792799346128,5.777093795244722,0,5,0.953
6,A202204211304201p073831,0,196.08381568457168,7.642005624993013,0,3,0.99
7,A202204211251224p070010,0,192.84361316549524,7.002821290376698,0,3,0.783
8,T202204211456512p074937,0,224.21368037337533,7.827154362004544,0,3,0.99
9,A202204211507010p072627,0,226.75421830526744,7.441065073310038,0,2,0.965
10,A202204211236524p053754,0,189.21846801969963,5.631741886172989,0,2,0.921
11,A202204211447262p084244,0,221.8595637607524,8.71247260608213,0,3,0.985
12,A202204211419270p000550,0,214.86277724386545,0.0972702280134029,0,3,0.999
13,A202204211309003p055130,0,197.25153883117696,5.858486529990337,0,3,0.919
14,A202204211247516p073005,0,191.96511114615765,7.501617462174077,0,3,0.934
15,T202204211244049p054952,0,191.02071313666568,5.831143625358989,0,2,0.948
16,A202204211417303m001717,0,214.3765818966517,-0.2882764747197084,0,4,0.981
17,A202204211305486p071217,0,196.4528417167364,7.204852424480538,0,4,0.974
18,A202204211309413p061112,0,197.42240150758505,6.186748216690283,0,3,0.866
19,T202204211259012p074326,0,194.75507195273585,7.724120783604228,0,4,0.949
20,T202204211251359p051946,0,192.899956295658,5.329531944947866,0,4,0.982
21,T202204211250189p064046,0,192.57877428440932,6.679694445542877,0,2,0.967
22,T202204211509249p073640,0,227.35375050988256,7.611130478235821,0,3,0.843
23,A202204211251389p053412,0,192.91213345333583,5.570055945468784,0,3,0.932
24,A202204211452491p082531,0,223.20474827700608,8.425486393564247,0,2,0.971
25,A202204211300027p064928,0,195.0115976912601,6.824702243300955,0,3,0.851
26,A202204211253289p075023,0,193.37051122806503,7.839890335733727,0,3,0.948
27,A202204211449425p081632,0,222.42738208357807,8.27557671763874,0,2,0.951
28,A202204211426390m023211,0,216.662595685786,-2.536498766169403,0,3,1.0
29,A202204211311493p060202,0,197.95543645463027,6.0339065669689935,0,4,0.918
30,A202204211428247m022817,0,217.10296992283057,-2.471524858379674,0,2,0.834
31,A202204211243011p065719,0,190.7548734512976,6.955304955392678,0,2,0.798
32,A202204211505369p061741,0,226.40378891974805,6.294819543801458,0,2,0.957
33,T202204211510431p082552,0,227.67965786953323,8.431162347509746,0,2,0.756
34,T202204211305426p070937,0,196.4275500424276,7.160416650199768,0,4,0.945
35,T202204211301485p061149,0,195.45208987476184,6.197010626116767,0,4,0.909
36,A202204211245296p072800,0,191.37365647626768,7.466821736363284,0,2,0.883
37,A202204211239470p061717,0,189.94601762914613,6.288241577510472,0,4,0.958
38,A202204211416172m000424,0,214.0717054407408,-0.0734868268560009,0,2,0.961
39,A202204211418493m013842,0,214.70578910912403,-1.645181324506327,0,2,0.64
40,A202204211246163p072445,0,191.56822300386733,7.412744328479498,0,4,0.958
41,A202204211259539p060050,0,194.9749614872631,6.013998753948436,0,3,0.919
42,A202204211256473p055356,0,194.1972587725605,5.899161779114919,0,2,0.918
43,A202204211512025p065006,0,228.01049512459943,6.8352111727237554,0,3,0.972
44,T202204211508497p074709,0,227.20741504425743,7.786096706287108,0,3,0.953
45,A202204211302460p072655,0,195.6917483961446,7.448651845288751,0,7,0.972
46,A202204211422087m020251,0,215.53650130788623,-2.047503462091246,0,3,0.956
47,A202204211238444p074259,0,189.68502619343136,7.716665877863798,0,2,0.648
48,A202204211510518p084102,0,227.7161039462196,8.684128741629612,0,2,0.921
49,T202204211300335p075315,0,195.13964737463485,7.887576230018622,0,4,0.896
50,A202204211257013p065331,0,194.2557308936764,6.892187786477183,0,2,0.691
51,T202204211506557p073253,0,226.73224617617325,7.548193354087346,0,3,0.99
52,A202204211245578p055254,0,191.4910505210981,5.881761437998633,0,3,0.912
53,A202204211421159m000217,0,215.3163687862516,-0.0381445148785635,0,3,0.969
54,A202204211249592p053848,0,192.4966945880605,5.64669244683912,0,3,0.856
55,A202204211238199p072410,0,189.5829711616069,7.402902919615378,0,3,0.913
56,A202204211308224p064829,0,197.0934900269365,6.808306462348964,0,6,0.867
57,T202204211251150p055832,0,192.8126941791741,5.975772569653037,0,2,0.971
58,A202204211456576p071624,0,224.24010734251644,7.273347559144319,0,3,1.0
59,A202204211449028p063942,0,222.26190125214632,6.661902441886999,0,3,0.974
60,A202204211416240m005231,0,214.10036022764112,-0.8755180612487478,0,2,0.805
61,A202204211420148m010345,0,215.0620365011218,-1.0625878560984194,0,3,0.989
62,A202204211249583p055301,0,192.4931910498863,5.883866974062261,0,2,0.541
63,A202204211300159p052152,0,195.06655895108835,5.364704864832243,0,4,0.944
64,A202204211245115p065609,0,191.2979953061948,6.93591692070478,0,2,0.771
65,T202204211450481p073323,0,222.7006687816868,7.556640297585211,0,3,0.966
66,T202204211255143p073810,0,193.8097195482744,7.636294287835236,0,2,0.955
67,T202204211237063p073303,0,189.27664756369705,7.551057517745947,0,2,0.98
68,T202204211251155p062458,0,192.8145956254424,6.4161939725307215,0,8,0.988
69,T202204211414203m001124,0,213.5847592219736,-0.1900818375047345,0,4,0.998
70,A202204211259372p053652,0,194.90531227423764,5.61464591769239,0,4,0.986
71,A202204211255309p073050,0,193.8787968263581,7.514083834023216,0,4,0.942
72,A202204211303382p064948,0,195.9095106978717,6.830144493188968,0,8,0.935
73,T202204211247382p073439,0,191.909428983184,7.577640921226208,0,4,0.928
74,A202204211305051p063549,0,196.27143643343456,6.597117076590193,0,2,0.769
75,T202204211516095p082335,0,229.03980421184224,8.393264260384742,0,3,0.947
76,A202204211254221p073348,0,193.59226736234,7.563381826041412,0,4,0.823
77,T202204211252342p075934,0,193.14277468368664,7.99304593460219,0,3,0.869
78,A202204211507350p065308,0,226.89592568530176,6.88567085988879,0,5,0.945
79,A202204211242488p051841,0,190.70370342605688,5.311504315122711,0,3,0.962
80,T202204211250588p075841,0,192.74519223312632,7.9781572702991985,0,2,0.893
81,A202204211305046p064026,0,196.2694880717497,6.674045720439779,0,8,0.989
82,A202204211511022p060723,0,227.75943626341308,6.123092364662399,0,3,0.969
83,A202204211243035p060044,0,190.76459900192413,6.01241607519035,0,3,0.968
84,A202204211245020p054207,0,191.25869608671124,5.7021358271255895,0,6,0.945
85,A202204211511208p081757,0,227.83687343620213,8.299354409580623,0,3,0.92
86,A202204211253268p061358,0,193.3617198611981,6.232980230895036,0,2,0.521
87,A202204211240423p070642,0,190.17625260672472,7.11177382924918,0,7,0.846
88,A202204211414553m003524,0,213.73069709866243,-0.5900455212050277,0,3,0.902
89,T202204211234041p065628,0,188.5174781217609,6.941365242781346,0,4,0.909
90,A202204211300575p070235,0,195.2399939640875,7.043119119359844,0,4,0.997
91,A202204211301480p053933,0,195.45026403869332,5.659221762402338,1,2,0.801
92,A202204211417427m000633,0,214.42819427421543,-0.1091878527233189,1,3,0.739
93,A202204211448012p080945,0,222.00529484777744,8.162645034859239,1,3,0.96
94,A202204241518000p081335,1,229.50035845290083,8.226533762188037,1,3,0.93
95,A202204241507383p074310,1,226.90999274059155,7.719623154431737,1,2,0.826
96,A202204241305141p073225,1,196.30911328413305,7.540386340436172,1,2,0.785
97,A202204211259347p074804,0,194.89478422854984,7.801315087558517,1,3,0.607
98,T202204211426361m013101,0,216.6505882947608,-1.517181905793637,1,3,0.995
99,T202204211239166p061034,0,189.8195161570657,6.176132590975201,1,2,0.559
100,T202204211253407p055203,0,193.41964711970223,5.867739666694421,1,3,0.779
101,A202204211503282p060250,0,225.8676224975755,6.047233540619099,1,3,0.879
102,A202204211419161m005351,0,214.81749283557284,-0.8977068738339459,1,5,0.833
103,A202204211424355m010916,0,216.1483232148041,-1.1546781213436874,1,7,0.945
104,A202204211304467p051833,0,196.1949895596753,5.30928411283159,1,3,0.592
105,A202204211308371p061121,0,197.1547459936312,6.18925357205249,1,7,0.991
106,A202204241256236p060453,1,194.0983545502576,6.081479718834031,1,2,0.61
107,T202204241449544p081850,1,222.47704388017945,8.314163701099556,1,2,0.683
108,T202204211511029p072012,0,227.76231274375783,7.336858930111519,1,4,0.912
109,A202204241514145p075822,1,228.5606625352418,7.9729358683365215,1,3,0.709
110,A202204211312004p052151,0,198.0020656927128,5.364311474629582,1,6,0.838
111,A202204241444153p075308,1,221.06408970238152,7.885669686961028,1,3,0.813
112,A202204241233291p071205,1,188.37157717866967,7.20153341846685,1,3,0.779
113,T202204211235479p070629,0,188.9498849071271,7.108140605627318,1,5,0.77
114,A202204211300585p054608,0,195.2439667885793,5.768951984100768,1,2,0.83
115,A202204241456351p072051,1,224.14635118332924,7.347774869928584,1,3,0.75
116,A202204241507113p085509,1,226.79733164082765,8.919323740041541,1,2,0.605
117,A202204241426462m000124,1,216.69268793016528,-0.0234276637150568,1,4,0.748
118,A202204241458033p074907,1,224.51385252044733,7.818829485291971,1,2,0.649
119,A202204241307135p071637,1,196.80625652338145,7.276987135247967,1,3,0.564
120,A202204241513029p084325,1,228.26245223519248,8.723787180699448,1,3,0.845
121,A202204211426110m004910,0,216.5460682672154,-0.819512114265849,1,3,0.963
122,A202204211455044p062841,0,223.76859890024977,6.478125675925277,1,4,0.938
123,A202204211458526p073919,0,224.71952433966425,7.655467859310203,1,7,0.911
124,A202204211306143p071035,0,196.5598591408236,7.176415448104446,1,4,0.908
125,A202204241458113p083726,1,224.5471159930009,8.623908773186072,1,4,0.855
126,A202204211423106m014347,0,215.7945242146833,-1.7299470675778397,1,4,0.884
127,A202204241308089p052220,1,197.03740170365987,5.372240980014553,1,3,0.537
128,A202204241423590m005940,1,215.99595272148116,-0.9945886115867112,1,3,0.84
129,A202204211512461p062951,0,228.19223831001915,6.497502415412376,1,3,0.856
130,A202204211450104p084554,0,222.5433758521624,8.765062919170115,1,3,0.842
131,T202204211258196p052351,0,194.58175536537223,5.397585792543683,1,3,0.842
132,T202204211507177p085635,0,226.82400766556856,8.94319609989866,1,3,0.828
133,A202204211438288p080533,0,219.62040361927004,8.092616653274364,1,5,0.881
134,A202204241309162p070944,1,197.3178869013712,7.162288753446904,1,3,0.512
135,A202204241501576p060540,1,225.49017963500552,6.0946900350278135,1,2,0.588
136,A202204211306293p055323,0,196.62248358152,5.889791412238691,1,6,0.934
137,A202204241511334p082727,1,227.8891931348719,8.457515718913541,1,2,0.662
138,A202204241507298p064415,1,226.87430182978096,6.737755059517924,1,4,0.753
139,A202204211420446m001245,0,215.1859286704628,-0.2126438558364627,1,8,0.907
140,A202204211507100p060457,0,226.79189287135472,6.082686751521921,1,4,0.823
141,A202204211450518p064119,0,222.715911407923,6.6886585944706445,1,4,0.965
142,T202204211302560p052853,0,195.7337464223704,5.481572401636592,1,2,0.715
143,A202204211415430m000415,0,213.929195028438,-0.0710455754607505,1,3,0.912
144,A202204241449140p075057,1,222.308678368808,7.849204431680982,1,3,0.823
145,T202204241237341p052330,1,189.39244681442608,5.39171391446725,1,2,0.518
146,A202204211457278p071500,0,224.3660482133629,7.250197169821559,1,3,0.899
147,A202204241516386p080952,1,229.16103063037517,8.164539846313927,1,2,0.503
148,A202204211446357p072803,0,221.6490119872384,7.467558867067613,1,3,0.806
149,A202204241425559p000810,1,216.4832030609784,0.1363308495450455,1,4,0.961
150,A202204211449507p083816,0,222.46159175311257,8.637948637987762,1,6,0.959
151,T202204211458224p064402,0,224.5937075430352,6.7339386163193184,1,3,0.951
152,T202204241510262p060023,1,227.60946181350212,6.0065179863860285,1,3,0.925
153,A202204241448001p084527,1,222.00048073476543,8.757633086706774,1,2,0.856
154,A202204211419381m003914,0,214.9087860289922,-0.6541311889345935,1,5,0.849
155,A202204241304491p063059,1,196.2048635350257,6.516478909701919,1,4,0.593
156,A202204211450585p075406,0,222.7440008734001,7.901759880389236,1,8,0.927
157,T202204241451469p080833,1,222.9456096659057,8.142552214997098,1,2,0.948
158,A202204211430439m014131,0,217.6832419436197,-1.6921264949344883,1,2,0.864
159,A202204241515454p073647,1,228.9391925011306,7.613302723762104,1,3,0.566
160,A202204241302401p065011,1,195.6671152121457,6.836656381939096,1,2,0.775
161,T202204211309247p054929,0,197.35308849729424,5.824778740170554,1,2,0.918
162,A202204241420467m020121,1,215.19477369684847,-2.022671643236957,1,3,0.541
