,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
0,T202307290208165m004317,0,32.06876377435268,-0.7215608379588807,0,3,0.962
1,A202307292204573m052735,0,331.23896169208,-5.459959531654211,0,3,1.0
2,A202307292222115m050140,0,335.54806268608826,-5.027877651623953,0,4,0.999
3,A202307290211509m015219,0,32.96219614122142,-1.872193797213304,0,2,0.84
4,A202307292228170m043641,0,337.07109386458166,-4.61139001978268,0,3,0.987
5,T202307292220070m031954,0,335.0295437091454,-3.331686310338988,0,2,0.999
6,A202307290206479m021156,0,31.699969356384088,-2.198934348718975,0,2,0.936
7,T202307291451071p070333,0,222.77978301932592,7.059411206013274,0,2,0.997
8,A202307292219367m030358,0,334.9029288313403,-3.066230348943914,0,3,0.999
9,A202307290212268m015306,0,33.111750581482426,-1.88501041134909,0,2,0.965
10,A202307290207244m012704,0,31.85196938838792,-1.451322433837856,0,2,0.991
11,A202307292223500m044230,0,335.9585855378814,-4.708595392966736,0,2,0.868
12,T202307292211073m051414,0,332.7805670050756,-5.237315231815606,0,3,1.0
13,A202307290207469m005411,0,31.94543166057782,-0.9031285238115624,0,2,0.948
14,A202307291504400p071109,0,226.16700712115696,7.186048882200836,0,2,0.999
15,T202307292227233m035802,0,336.8472377775974,-3.9673413423860833,0,2,0.979
16,A202307292207521m030729,0,331.9674282415231,-3.124823449414508,0,3,0.92
17,A202307292158324m052946,0,329.6352406738287,-5.4961909819558645,0,3,1.0
18,A202307292229382m023414,0,337.4092643183893,-2.570785838187327,0,2,0.926
19,A202307292205119m051331,0,331.2999004482152,-5.225414045132376,0,2,0.999
20,A202307291505156p081222,0,226.31509322264063,8.206163616807467,0,3,0.836
21,A202307292159157m043450,0,329.81575056954904,-4.5807611418213705,0,3,0.982
22,A202307292211447m024042,0,332.93650026777254,-2.678477628662053,0,3,0.975
23,A202307292213491m030348,0,333.4548823932912,-3.063398218914285,0,2,0.955
24,A202307292213475m023107,0,333.44819936294124,-2.518617175513331,0,2,0.833
25,A202307292216553m040054,0,334.2307302597393,-4.0150227699933065,0,6,0.999
26,A202307292209471m025024,0,332.44641367761074,-2.840135195925864,0,3,0.999
27,A202307292229135m024658,0,337.30658751728845,-2.783031779484376,0,2,0.954
28,T202307290211375m022011,0,32.90646850219676,-2.336611682037613,0,2,0.934
29,T202307292204437m043654,0,331.1822747854403,-4.615190255771396,0,2,0.942
30,A202307292215122m021356,0,333.80123733273973,-2.2324639004984816,0,2,0.976
31,A202307291456576p071624,0,224.2400959553117,7.273339854878392,0,2,1.0
32,A202307291503100p082351,0,225.79207574140872,8.397742095127413,0,2,0.995
33,A202307290211348m011149,0,32.89511183361578,-1.1970802828090084,0,2,0.892
34,T202307292218482m032921,0,334.7011033289485,-3.489177024600222,0,4,0.992
35,T202307292210025m041639,0,332.5105833430292,-4.277695676027168,0,2,0.965
36,A202307291446203p072449,0,221.58478287007443,7.413716208111123,0,2,0.998
37,A202307292228405m031904,0,337.16880598049994,-3.3178034643560785,0,3,0.996
38,A202307291508159p064758,0,227.0663325862423,6.799472728039927,0,2,0.998
39,A202307292158430m052432,0,329.67918600828864,-5.409096131391635,0,2,0.992
40,A202307291449028p063942,0,222.26195026875868,6.661926414847684,0,2,0.999
41,A202307292224530m040345,0,336.22102638968363,-4.062776351848102,0,2,0.97
42,A202307291507350p065308,0,226.8959660394352,6.88567729299604,0,4,0.994
43,T202307291451469p080833,0,222.9455928815081,8.142575188671582,0,3,0.994
44,T202307291442332p072406,0,220.6384440791888,7.401700410704966,0,2,0.996
45,A202307292209557m043352,0,332.48220771983705,-4.564497478592664,0,3,0.995
46,A202307290208170m011623,0,32.0712065755213,-1.2732649327997836,0,2,0.916
47,A202307292208240m024824,0,332.1000488932628,-2.806797587818125,0,3,0.979
48,A202307291513030p071255,0,228.26272063004828,7.215298724983303,0,2,1.0
49,A202307292200459m021618,0,330.19163799392527,-2.271735280518318,0,3,0.992
50,A202307292200339m043919,0,330.1414313679052,-4.655305692161721,0,3,1.0
51,A202307292231513m030801,0,337.96402804627934,-3.133733465331825,0,2,0.841
52,A202307292223435m040008,0,335.93127612606355,-4.002241456462821,0,3,0.983
53,A202307292215323m041238,0,333.8848056593163,-4.210712921796842,0,5,0.956
54,A202307292223199m022546,0,335.8332510981226,-2.4296711884582085,0,3,0.994
55,A202307290212363m015102,0,33.15127026154132,-1.8506947201464816,0,2,0.959
56,A202307292228236m051305,0,337.09855120653845,-5.218294272464617,0,3,0.985
57,A202308012219569m001802,1,334.9871275772014,-0.3007231066339595,1,3,0.953
58,A202308012233479m004800,1,338.4498393520626,-0.8000809225814596,1,2,1.0
59,A202308012304294m004145,1,346.1226518197384,-0.6960462661832282,1,2,0.998
60,A202308012201238m000914,1,330.34928192886457,-0.1539463196057801,1,2,1.0
61,A202308012208325m013317,1,332.13568252056285,-1.5548682116571435,1,2,0.986
62,A202308012304056m010830,1,346.0235513810683,-1.14184274491056,1,2,1.0
63,A202307290210234m022007,0,32.597657682435965,-2.3353902892699256,1,2,0.865
64,A202307291456172p053916,0,224.0720733394506,5.654500160522285,1,4,1.0
65,T202307291453382p085725,0,223.40955397963955,8.956946877256065,1,4,0.955
66,A202308012238374m002053,1,339.6559373911033,-0.3480816787927103,1,3,0.998
67,A202308012204389m001859,1,331.16218935614654,-0.3164878162704689,1,2,0.977
68,T202307290210213m012712,0,32.58914876502249,-1.4534798423845243,1,4,0.977
69,A202308012208200m013457,1,332.08355656424504,-1.5825229337507654,1,2,1.0
70,T202307290213175m015306,0,33.3230692638831,-1.8850296592828708,1,3,0.732
71,A202308012234086m004158,1,338.5359873505094,-0.6995526343268472,1,2,0.999
