sn name,host_source,host_name,host_id,host_ra,host_dec,type,rexp,rexp_ivar,rdev,rdev_ivar,z,z_sep,ang_sep (deg),ang_sep (kpsec),ang_sep (radii),ang_sep_sigma (radii),upper_ang_sep (radii),a,ratiob2a,pa,dm,m21,source,dm_kin,btc,hemisphere,program
2004hz,dr8_galaxy,N/A,361232330,31.2616329860043,0.835829972755253,EXP,2.77503204345703,89302.4765625,0.0,0.0,0.131543293595314,9999.131543293595,0.0011857815640146504,nan,1.5382934552117153,0.0018549808840254308,1.5401484360957407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004hv,dr8_galaxy,N/A,158122812,357.109851655391,1.0646132317688,EXP,2.48890733718872,102.442283630371,0.0,0.0,-99.0,99.0612,0.0019598957512856844,8.330877929207798,2.834828199187986,0.11253260972958383,2.94736080891757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004hw,dr8_galaxy,N/A,158269343,357.822042046609,1.2276501887698,EXP,1.41722047328949,2675.28857421875,0.0,0.0,-99.0,9900.0,5.8156965164259146e-05,nan,0.1477293607714957,0.002015320319496371,0.14974468109099207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004hy,dr8_galaxy,N/A,730674601,316.519438118368,1.21614950546099,EXP,4.72716426849365,44788.25,0.0,0.0,0.0595079660415649,0.0016079660415648997,0.001472866690706033,5.946144395000401,1.1216703684027776,0.0011211984946580343,1.1227915668974355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004hu,local_universe,2MASX J01145959+0015330,242156.0,18.748375,0.259194444444,S0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01985,0.79,90.0,-99.0,-99.0,ned_20121120,36.4977,-99.0,south,SDSS-II
2004hx,dr8_galaxy,N/A,107532766,40.3028819144094,-0.877206146157293,COMP,8.65465354919434,3880.92944335938,8.14015293121338,4026.1533203125,0.130421996116638,0.09222199611663799,0.002270201303687663,6.189678340423036,0.9443156386122914,0.0017514575705965566,0.946067096182888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004hx,dr8_galaxy,N/A,107532767,40.3040959790613,-0.876848927808375,COMP,4.29487943649292,5287.42431640625,7.19114398956299,1066.09838867188,0.042350709438324,0.0041507094383240045,0.003046465244440542,8.306153250698472,1.5251085078957567,0.006495373296825184,1.5316038811925818,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004id,dr8_galaxy,N/A,210739702,1.62421261137989,-0.473861986503024,EXP,0.943231046199799,3960.47534179688,0.0,0.0,-99.0,99.1506,0.001230076880845969,11.615877419998718,4.6947953938609785,0.07909061015287185,4.773886004013851,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004ib,dr8_galaxy,N/A,107560593,40.234772459641,-0.179082668677244,DEV,0.0,0.0,17.0001583099365,42580.734375,0.047007542103529,9999.047007542104,0.0010258832011144654,nan,0.21724383130323158,6.192812257889752e-05,0.21730575942581049,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004ht,dr8_galaxy,N/A,1001663607,16.2035273508077,-0.894906214679481,EXP,7.0164623260498,81574.03125,0.0,0.0,0.0565949901938438,0.008105009806156194,0.001290274585599697,5.774406991794262,0.662012890871459,0.0003303484596155415,0.6623432393310745,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004ht,dr8_galaxy,N/A,1001663665,16.1863618644926,-0.894773340080356,EXP,4.05985927581787,159222.84375,0.0,0.0,0.0681749135255814,0.003474913525581408,0.01647977858188475,73.75247852551283,14.61311805760397,0.009020471207470284,14.62213852881144,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004if,dr8_galaxy,N/A,538015149,339.786428481548,-0.865346062259129,REX,0.324372798204422,34317.9765625,0.0,0.0,0.362610667943954,9999.362610667944,0.0004546174309213366,nan,5.045499377186988,0.08396511612913952,5.129464493316127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004ia,dr8_galaxy,N/A,889807051,34.5086513422397,-0.559665339246445,REX,1.1449910402298,5584304.0,0.0,0.0,0.137892231345177,0.005707768654823003,0.0011586809362066249,10.514894614694715,3.6430428045154644,0.0013464110262439695,3.6443892155417084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
2004ie,dr8_galaxy,N/A,3141580,330.446224919325,1.23681796803588,EXP,4.66480302810669,6777.98388671875,0.0,0.0,-99.0,99.0516,0.0022293169439738586,8.080639680826572,1.720445847327283,0.004479787679245305,1.7249256350065283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004ie,dr8_galaxy,N/A,3141593,330.438776528119,1.23903857993671,DEV,0.0,0.0,5.2897162437439,85.8739776611328,-99.0,99.0516,0.0057342911700332296,20.785174084482847,3.9025624931270078,0.07961349700286578,3.9821759901298734,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,SDSS-II
2004ic,dr8_galaxy,N/A,725890379,310.20271156786,1.04362798481679,REX,5.18112373352051,100332.4375,0.0,0.0,0.0939735025167465,0.0012735025167464886,0.002840641183147115,17.630941159042127,1.9737626015700198,0.0012026805018110775,1.9749652820718309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,SDSS-II
