objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202302110955231p023459,09:55:23.122 +02:34:59.786,148.846343484145,2.583273931883838,148.8463307420727,2.583278590844382,56,2023-02-11T06:10:49.793,20.00014407074078,r,2023-03-05T02:31:16.247,19.357834233181023,r,2023-03-05T03:09:47.117,19.482484770702932,i,1488p025_1863,148.8472497275023,2.582905243270308,16.149603128433228,15.509883761405945,14.957297444343567,0.03142,1e-05,spec,SDSS-DR12
C202302140954164p022252,09:54:16.499 +02:22:52.857,148.5687460139913,2.381349360021568,148.5687124695425,2.381374306967387,91,2023-02-14T06:42:06.841,22.281555101160606,g,2023-03-05T03:22:02.096,21.86109071410722,i,2023-03-05T03:22:02.096,21.86109071410722,i,1486p025_1480,148.5687302148753,2.381083707742616,21.98943868279457,21.837228015065193,22.304094079881907,nan,nan,NONE,NONE
C202302141000033p031757,10:00:03.372 +03:17:57.230,150.0140515254019,3.299230761084628,150.0140173165975,3.29921219318285,101,2023-02-14T06:36:02.153,22.31398651730857,g,2023-02-23T02:29:07.010,21.396210447009604,r,2023-03-10T04:51:43.049,22.52137349971879,g,1500p032_1349,150.0138545334237,3.299243371807703,21.44338995218277,20.792399048805237,20.453288853168488,0.276,0.0941,phot,SDSS-DR12
T202302110958199p040142,09:58:19.967 +04:01:42.988,149.583199196293,4.02860788850286,149.583228480278,4.028634924983045,115,2023-02-11T06:06:42.847,22.757457672992288,i,2023-03-01T04:03:00.701,19.469396986037545,g,2023-03-10T04:51:43.049,19.901096625781356,g,1495p040_2472,149.5829109115416,4.029375670218978,18.083517253398895,17.570741176605225,17.146551609039307,0.2294,0.069,phot,SDSS-DR12
T202301301001262p031752,10:01:26.298 +03:17:52.143,150.3595751313832,3.297817668836044,150.3595669325217,3.297801427529387,65,2023-01-30T05:37:16.521,23.4041525490164,g,2023-02-11T06:42:55.577,21.8863347032039,i,2023-03-01T04:06:27.289,23.120320324419126,i,1503p032_3116,150.3589853496171,3.298594187189783,19.06394273042679,18.552037477493286,18.208427727222443,0.1445,0.0299,phot,SDSS-DR12
C202302140959248p015141,09:59:24.899 +01:51:41.620,149.8537467480334,1.861561287120429,149.853764241286,1.861552439825517,128,2023-02-14T06:42:06.841,22.53595073641817,g,2023-03-01T03:39:54.141,21.79823969529232,r,2023-03-05T03:07:51.698,21.850196080612342,r,1498p017_2060,149.8536473299685,1.861400319297473,23.011289052665234,22.520919505041093,22.20352752134204,0.4489,nan,spec,NED
A202302260954339p014309,09:54:33.938 +01:43:09.739,148.6414115743756,1.719371962938243,148.6414352886099,1.719381947921871,50,2023-02-26T06:25:00.873,22.973041051345227,g,2023-03-04T03:28:59.241,20.892122305593656,g,2023-03-10T04:39:29.948,21.12525211064778,g,1486p017_2744,148.6414849370318,1.71939763785241,21.788403391838074,21.271570026874542,20.904749631881714,nan,nan,NONE,NONE
