"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"53951"	"AT 2020ceu"	"13:57:43.560"	"-56:18:35.28"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20asa"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.37"	"G-Gaia"	"2020-02-07 21:08:38.000"	"Gaia_Bot1"	""	""
"53950"	"AT 2020cet"	"01:32:44.130"	"+43:25:32.66"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20ary"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.61"	"G-Gaia"	"2020-02-07 22:07:40.000"	"Gaia_Bot1"	""	""
"53949"	"AT 2020ces"	"01:15:43.230"	"+33:37:22.98"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arx"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"16.53"	"G-Gaia"	"2020-02-07 15:56:09.000"	"Gaia_Bot1"	""	""
"53948"	"AT 2020cer"	"00:33:56.930"	"-26:03:53.42"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aru"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.93"	"G-Gaia"	"2020-02-07 22:39:21.000"	"Gaia_Bot1"	""	""
"53947"	"AT 2020ceq"	"13:26:59.050"	"-49:19:30.50"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20art"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.25"	"G-Gaia"	"2020-02-07 07:14:52.000"	"Gaia_Bot1"	""	""
"53946"	"AT 2020cep"	"00:58:43.790"	"+05:40:16.93"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20ars"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"19.37"	"G-Gaia"	"2020-02-07 21:25:55.000"	"Gaia_Bot1"	""	""
"53945"	"AT 2020ceo"	"12:52:20.480"	"-00:39:48.53"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arr"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.57"	"G-Gaia"	"2020-02-07 18:30:14.000"	"Gaia_Bot1"	""	""
"53944"	"AT 2020cen"	"12:51:07.020"	"+03:05:10.50"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arq"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.25"	"G-Gaia"	"2020-02-07 20:12:28.000"	"Gaia_Bot1"	""	""
"53943"	"AT 2020cem"	"02:33:27.250"	"+72:46:57.00"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arp"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"19.95"	"G-Gaia"	"2020-02-07 04:40:48.000"	"Gaia_Bot1"	""	""
"53942"	"AT 2020cel"	"05:35:08.375"	"-06:07:24.02"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF19actllbv"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"16.28"	"r-ZTF"	"2020-02-04 04:29:33.000"	"ZTF_AMPEL_COMPLETE"	""	""
