"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"56021","AT 2020ent","18:32:16.080","-33:54:14.65","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bht","Gaia - Gaia-photometric","","1","1","","18.42","G-Gaia","2020-03-14 02:25:26.400","Gaia_Bot1","",""
"56020","AT 2020ens","10:40:12.210","-47:05:34.26","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bhs","Gaia - Gaia-photometric","","1","1","","18.43","G-Gaia","2020-03-13 21:53:16.800","Gaia_Bot1","",""
"56019","AT 2020enr","19:05:32.320","-22:26:07.80","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bhr","Gaia - Gaia-photometric","","1","1","","18.42","G-Gaia","2020-03-14 08:11:02.400","Gaia_Bot1","",""
"56018","AT 2020enq","17:34:40.480","-48:46:28.13","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bhq","Gaia - Gaia-photometric","","1","1","","18.17","G-Gaia","2020-03-13 14:44:09.600","Gaia_Bot1","",""
"56017","AT 2020enp","03:26:13.880","+59:01:03.04","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bhp","Gaia - Gaia-photometric","","1","1","","17.64","G-Gaia","2020-03-13 19:50:52.800","Gaia_Bot1","",""
"56016","AT 2020eno","21:49:04.850","+37:02:46.32","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bho","Gaia - Gaia-photometric","","1","1","","18.79","G-Gaia","2020-03-13 14:42:43.200","Gaia_Bot1","",""
"56015","AT 2020enn","19:09:35.820","-29:25:30.43","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20bhn","Gaia - Gaia-photometric","","1","1","","19.39","G-Gaia","2020-02-24 21:31:40.800","Gaia_Bot1","",""
"56014","SN 2020enm","16:35:06.750","+46:12:53.35","SN Ia-91T-like","0.03076","IC 1222","","XOSS, ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","XOSS, ATLAS, ZTF, GaiaAlerts, Pan-STARRS1","None","ATLAS; GaiaAlerts; Pan-STARRS1; XOSS; ZTF","XMPGS1","ATLAS1 - ACAM1, Gaia - Gaia-photometric, Other - Other, P48 - ZTF-Cam, PS1 - GPC1","Lijiang-2.4m - YFOSC","1","1","","17.7","Clear-","2020-03-16 21:55:17.000","Zhang","",""
"56013","AT 2020enl","07:55:28.000","-17:06:51.34","","","","","BraTS, GaiaAlerts","BraTS, GaiaAlerts","","BraTS; GaiaAlerts","BraTS-SON-T2-009","Gaia - Gaia-photometric, Other - Other","","1","1","","15.8","Other-","2020-03-15 01:49:52.320","Jacques","",""
"56012","AT 2020enk","09:11:01.794","-14:59:56.05","","","","","ATLAS","ATLAS","","ATLAS","ATLAS20hzf","ATLAS1 - ACAM1","","1","1","","19.265","orange-ATLAS","2020-03-16 10:12:00.000","ATLAS_Bot1","",""
