"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"57345","AT 2020gip","11:32:04.189","+17:30:23.39","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbj","PS1 - GPC1","","1","1","","22.36","w-PS1","2020-01-21 11:47:02.400","PS1_Bot1","",""
"57344","AT 2020gio","04:59:39.475","-00:09:16.19","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbi","PS1 - GPC1","","1","1","","20.45","w-PS1","2020-03-23 05:47:02.400","PS1_Bot1","",""
"57343","AT 2020gin","07:44:45.280","+35:46:46.43","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbh","PS1 - GPC1","","1","1","","21.88","w-PS1","2020-01-23 07:58:04.800","PS1_Bot1","",""
"57342","AT 2020gim","03:43:56.222","-17:22:47.33","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbg","PS1 - GPC1","","1","1","","21.69","w-PS1","2020-01-22 05:38:24.000","PS1_Bot1","",""
"57341","AT 2020gil","10:00:33.455","+11:51:47.25","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbf","PS1 - GPC1","","1","1","","21.07","w-PS1","2020-01-30 09:18:43.200","PS1_Bot1","",""
"57340","AT 2020gik","04:11:13.821","-04:21:04.39","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbe","PS1 - GPC1","","1","1","","19.88","w-PS1","2020-01-29 05:34:04.800","PS1_Bot1","",""
"57339","AT 2020gij","07:49:12.766","+23:01:26.54","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbd","PS1 - GPC1","","1","1","","21.26","w-PS1","2020-01-20 11:13:55.200","PS1_Bot1","",""
"57338","AT 2020gii","03:44:47.590","-20:02:05.95","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbc","PS1 - GPC1","","1","1","","21.96","w-PS1","2020-01-21 05:38:24.000","PS1_Bot1","",""
"57337","AT 2020gih","08:01:52.899","+66:40:43.22","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bbb","PS1 - GPC1","","1","1","","20.92","w-PS1","2020-01-27 07:14:52.800","PS1_Bot1","",""
"57336","AT 2020gig","15:13:30.941","-19:53:54.81","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bba","PS1 - GPC1","","1","1","","20.78","w-PS1","2020-01-23 15:40:19.200","PS1_Bot1","",""
"57334","AT 2020gie","09:07:00.411","+57:27:05.71","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20bay","PS1 - GPC1","","1","1","","20.53","w-PS1","2020-01-28 10:55:12.000","PS1_Bot1","",""
