"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"54393"	"SN 2020cvo"	"07:15:40.730"	"+30:46:09.91"	"SN Ia"	"0.03"	""	""	"ZTF, ATLAS, GaiaAlerts"	"ZTF, ATLAS, GaiaAlerts"	"SCAT, ZTF"	"ATLAS; GaiaAlerts; ZTF"	"ZTF20aaomtwl"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam"	"P60 - SEDM, UH88 - SNIFS"	"1"	"1"	""	"19.39"	"r-ZTF"	"2020-02-19 03:19:26.000"	"ZTF_AMPEL_NEW"	""	""
"54392"	"SN 2020cvn"	"07:13:37.200"	"+42:46:52.25"	"SN Ia"	"0.04"	""	""	"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1"	"ZTF, ATLAS, GaiaAlerts, Pan-STARRS1"	"ZTF"	"ATLAS; GaiaAlerts; Pan-STARRS1; ZTF"	"ZTF20aanyxvu"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1"	"P60 - SEDM"	"1"	"1"	""	"20.68"	"g-ZTF"	"2020-02-16 03:49:37.000"	"ZTF_AMPEL_NEW"	""	""
"54391"	"AT 2020cvm"	"12:26:02.284"	"+33:34:07.81"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aankbyb"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.6084"	"g-ZTF"	"2020-02-15 08:36:40.000"	"ZTF_CLU_PUBLIC"	""	""
"54390"	"AT 2020cvl"	"10:48:04.121"	"+40:46:15.43"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aaokejd"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"20.2964"	"g-ZTF"	"2020-02-02 10:42:40.000"	"ZTF_CLU_PUBLIC"	""	""
"54389"	"AT 2020cvk"	"10:38:26.292"	"-09:50:14.44"	""	""	""	""	"ATLAS, Pan-STARRS1"	"ATLAS, Pan-STARRS1"	""	"ATLAS; Pan-STARRS1"	"ATLAS20ezg"	"ATLAS1 - ACAM1, PS1 - GPC1"	""	"1"	"1"	""	"19.182"	"orange-ATLAS"	"2020-02-01 12:23:02.000"	"ATLAS_Bot1"	""	""
"54387"	"AT 2020cvj"	"02:04:43.260"	"-30:06:08.17"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awg"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.45"	"G-Gaia"	"2020-02-17 21:10:04.000"	"Gaia_Bot1"	""	""
"54386"	"AT 2020cvi"	"13:51:17.371"	"-11:00:55.72"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fmh"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.541"	"cyan-ATLAS"	"2020-02-03 13:33:35.000"	"ATLAS_Bot1"	""	""
"54385"	"AT 2020cvh"	"13:40:39.931"	"+07:09:43.36"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20fhx"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.816"	"cyan-ATLAS"	"2020-02-03 14:26:52.000"	"ATLAS_Bot1"	""	""
"54384"	"SN 2020cvg"	"12:14:37.085"	"+24:18:15.74"	"SN Ia"	"0.021"	"UGC 7248"	"0.0465"	"GOTO, ATLAS, Pan-STARRS1"	"GOTO, ATLAS, Pan-STARRS1"	"None"	"ATLAS; GOTO; Pan-STARRS1"	"GOTO20hm"	"ATLAS1 - ACAM1, GOTO-N - GOTO-1, PS1 - GPC1"	"LT - SPRAT"	"1"	"1"	""	"18.4"	"L-GOTO"	"2020-02-06 02:35:20.000"	"Kennedy"	""	""
"54383"	"AT 2020cvf"	"14:30:52.367"	"-22:14:37.77"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20ecl"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.619"	"cyan-ATLAS"	"2020-01-25 13:30:43.000"	"ATLAS_Bot1"	""	""
"54382"	"AT 2020cve"	"17:06:46.510"	"-35:56:20.65"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awe"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.84"	"G-Gaia"	"2020-02-17 07:29:16.000"	"Gaia_Bot1"	""	""
"54381"	"AT 2020cvd"	"02:53:53.355"	"-09:55:58.29"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20eco"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.508"	"cyan-ATLAS"	"2020-01-25 07:07:40.000"	"ATLAS_Bot1"	""	""
"54380"	"AT 2020cvc"	"16:36:27.080"	"-25:17:04.42"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awd"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.27"	"G-Gaia"	"2020-02-17 15:04:19.000"	"Gaia_Bot1"	""	""
"54379"	"AT 2020cvb"	"17:53:04.220"	"-44:57:13.86"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awc"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.19"	"G-Gaia"	"2020-02-17 07:40:48.000"	"Gaia_Bot1"	""	""
"54378"	"AT 2020cva"	"17:26:01.510"	"-40:13:56.93"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awb"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.44"	"G-Gaia"	"2020-02-17 07:33:36.000"	"Gaia_Bot1"	""	""
"54377"	"AT 2020cuz"	"04:34:55.430"	"+24:28:52.64"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20awa"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"13.17"	"G-Gaia"	"2020-02-17 16:20:38.000"	"Gaia_Bot1"	""	""
"54376"	"AT 2020cuy"	"04:23:01.990"	"+21:08:02.11"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avz"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.93"	"G-Gaia"	"2020-02-17 16:16:19.000"	"Gaia_Bot1"	""	""
"54375"	"AT 2020cux"	"17:33:19.200"	"-50:46:07.64"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avy"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.22"	"G-Gaia"	"2020-02-15 07:40:48.000"	"Gaia_Bot1"	""	""
"54374"	"AT 2020cuw"	"02:30:06.430"	"-04:32:27.42"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avx"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.43"	"G-Gaia"	"2020-02-15 03:33:07.000"	"Gaia_Bot1"	""	""
"54373"	"AT 2020cuv"	"12:37:24.510"	"+42:43:13.84"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avw"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.69"	"G-Gaia"	"2020-02-15 01:42:14.000"	"Gaia_Bot1"	""	""
"54372"	"AT 2020cuu"	"06:43:14.590"	"+53:42:35.75"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avv"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.9"	"G-Gaia"	"2020-02-16 12:46:04.000"	"Gaia_Bot1"	""	""
"54371"	"AT 2020cut"	"04:16:04.830"	"+26:18:01.08"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avu"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.44"	"G-Gaia"	"2020-02-16 16:17:45.000"	"Gaia_Bot1"	""	""
