# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
-168.119000 -43.164700
-170.058000 -41.608600
-171.904000 -40.021500
-173.666000 -38.406400
-175.350000 -36.766100
-176.963000 -35.103100
-178.511000 -33.419500
-86.107000 -58.877700
-82.092000 -59.352000
-77.979000 -59.699700
-73.796000 -59.916300
-69.574000 -59.999100
-65.350000 -59.946900
-61.155000 -59.760400
-57.023000 -59.442100
-52.983000 -58.996100
-49.061000 -58.427800
-45.276000 -57.743800
-41.642000 -56.951200
-38.168000 -56.057900
-34.860000 -55.071600
-31.717000 -54.000000
-28.738000 -52.850700
-25.917000 -51.630700
-23.248000 -50.346800
-20.722000 -49.005000
-18.331000 -47.611000
-16.067000 -46.169900
-13.919000 -44.686400
-11.881000 -43.164700
 -9.942000 -41.608600
 -8.096000 -40.021500
 -6.334000 -38.406400
 -4.650000 -36.766100
 -3.037000 -35.103100
 -1.489000 -33.419500
 92.254900  56.551200
 94.310600  54.782600
 96.192500  52.982200
 97.922700  51.154500
 99.520200  49.303300
101.001000  47.431600
102.380000  45.542100
103.669000  43.637100
104.879000  41.718600
106.018000  39.788100
107.094000  37.847000
108.116000  35.896700
109.088000  33.938200
110.016000  31.972300
110.905000  30.000000
111.760000  28.021900
112.583000  26.038800
113.380000  24.051100
114.151000  22.059400
114.902000  20.064300
115.633000  18.066000
116.349000  16.065000
117.049000  14.061700
117.738000  12.056500
118.416000  10.049500
119.087000   8.041220
119.750000   6.031840
120.408000   4.021670
121.064000   2.010960
 87.745100  56.551200
 85.689400  54.782600
 83.807500  52.982200
 82.077300  51.154500
 80.479800  49.303300
 78.998700  47.431600
 77.619700  45.542100
 76.330800  43.637100
 75.121400  41.718600
 73.982400  39.788100
 72.905700  37.847000
 71.884400  35.896700
 70.912400  33.938200
 69.984100  31.972300
 69.094800  30.000000
 68.240300  28.021900
 67.416700  26.038800
 66.620400  24.051100
 65.848500  22.059400
 65.098100  20.064300
 64.366500  18.066000
 63.651500  16.065000
 62.950600  14.061700
 62.262000  12.056500
 61.583500  10.049500
 60.913500   8.041220
 60.250000   6.031840
 59.591500   4.021670
 58.936200   2.010960
 93.892900  58.877700
 97.907900  59.352000
102.021000  59.699700
106.204000  59.916300
110.426000  59.999100
114.650000  59.946900
118.845000  59.760400
122.977000  59.442100
127.017000  58.996100
130.939000  58.427800
134.724000  57.743800
138.358000  56.951200
141.832000  56.057900
145.140000  55.071600
148.283000  54.000000
151.262000  52.850700
154.083000  51.630700
156.752000  50.346800
159.278000  49.005000
161.669000  47.611000
163.933000  46.169900
166.081000  44.686400
168.119000  43.164700
170.058000  41.608600
171.904000  40.021500
173.666000  38.406400
175.350000  36.766100
176.963000  35.103100
178.511000  33.419500
 86.107100  58.877700
 82.092100  59.352000
 77.978800  59.699700
 73.795600  59.916300
 69.574500  59.999100
 65.349500  59.946900
 61.154800  59.760400
 57.023000  59.442100
 52.983400  58.996100
 49.061000  58.427800
 45.275600  57.743800
 41.641500  56.951200
 38.168100  56.057900
 34.859900  55.071600
 31.717500  54.000000
 28.738300  52.850700
 25.917400  51.630700
 23.247900  50.346800
 20.722100  49.005000
 18.331300  47.611000
 16.066700  46.169900
 13.919400  44.686400
 11.880600  43.164700
  9.942090  41.608600
  8.095760  40.021500
  6.334100  38.406400
  4.650050  36.766100
  3.037030  35.103100
  1.488900  33.419500
 92.254900 -56.551200
 94.310600 -54.782600
 96.192500 -52.982200
 97.922700 -51.154500
 99.520200 -49.303300
101.001000 -47.431600
102.380000 -45.542100
103.669000 -43.637100
104.879000 -41.718600
106.018000 -39.788100
107.094000 -37.847000
108.116000 -35.896700
109.088000 -33.938200
110.016000 -31.972300
110.905000 -30.000000
111.760000 -28.021900
112.583000 -26.038800
113.380000 -24.051100
114.151000 -22.059400
114.902000 -20.064300
115.633000 -18.066000
116.349000 -16.065000
117.049000 -14.061700
117.738000 -12.056500
118.416000 -10.049500
119.087000  -8.041220
119.750000  -6.031840
120.408000  -4.021670
121.064000  -2.010960
 87.745100 -56.551200
 85.689400 -54.782600
 83.807500 -52.982200
 82.077300 -51.154500
 80.479800 -49.303300
 78.998700 -47.431600
 77.619700 -45.542100
 76.330800 -43.637100
 75.121400 -41.718600
 73.982400 -39.788100
 72.905700 -37.847000
 71.884400 -35.896700
 70.912400 -33.938200
 69.984100 -31.972300
 69.094800 -30.000000
 68.240300 -28.021900
 67.416700 -26.038800
 66.620400 -24.051100
 65.848500 -22.059400
 65.098100 -20.064300
 64.366500 -18.066000
 63.651500 -16.065000
 62.950600 -14.061700
 62.262000 -12.056500
 61.583500 -10.049500
 60.913500  -8.041220
 60.250000  -6.031840
 59.591500  -4.021670
 58.936200  -2.010960
 93.892900 -58.877700
 97.907900 -59.352000
102.021000 -59.699700
106.204000 -59.916300
110.426000 -59.999100
114.650000 -59.946900
118.845000 -59.760400
122.977000 -59.442100
127.017000 -58.996100
130.939000 -58.427800
134.724000 -57.743800
138.358000 -56.951200
141.832000 -56.057900
145.140000 -55.071600
148.283000 -54.000000
151.262000 -52.850700
154.083000 -51.630700
156.752000 -50.346800
159.278000 -49.005000
161.669000 -47.611000
163.933000 -46.169900
166.081000 -44.686400
168.119000 -43.164700
170.058000 -41.608600
171.904000 -40.021500
173.666000 -38.406400
175.350000 -36.766100
176.963000 -35.103100
178.511000 -33.419500
 86.107100 -58.877700
 82.092100 -59.352000
 77.978800 -59.699700
 73.795600 -59.916300
 69.574500 -59.999100
 65.349500 -59.946900
 61.154800 -59.760400
 57.023000 -59.442100
 52.983400 -58.996100
 49.061000 -58.427800
 45.275600 -57.743800
 41.641500 -56.951200
 38.168100 -56.057900
 34.859900 -55.071600
 31.717500 -54.000000
 28.738300 -52.850700
 25.917400 -51.630700
 23.247900 -50.346800
 20.722100 -49.005000
 18.331300 -47.611000
 16.066700 -46.169900
 13.919400 -44.686400
 11.880600 -43.164700
  9.942090 -41.608600
  8.095760 -40.021500
  6.334100 -38.406400
  4.650050 -36.766100
  3.037030 -35.103100
  1.488900 -33.419500
-119.603000   0.000000
-117.488000   0.000000
-115.374000   0.000000
-113.259000   0.000000
-111.145000   0.000000
-109.030000   0.000000
-106.916000   0.000000
-104.801000   0.000000
-102.687000   0.000000
-100.572000   0.000000
-98.458000   0.000000
-96.343000   0.000000
-94.229000   0.000000
-92.114000   0.000000
-90.000000   0.000000
-87.886000   0.000000
-85.771000   0.000000
-83.657000   0.000000
-81.542000   0.000000
-79.428000   0.000000
-77.313000   0.000000
-75.199000   0.000000
-73.084000   0.000000
-70.970000   0.000000
-68.855000   0.000000
-66.741000   0.000000
-64.626000   0.000000
-62.512000   0.000000
-60.397000   0.000000
-123.428000   1.242690
-125.141000   2.484260
-126.857000   3.723620
-128.577000   4.959640
-130.304000   6.191190
-132.039000   7.417130
-133.784000   8.636320
-135.540000   9.847560
-137.309000  11.049700
-139.093000  12.241400
-140.892000  13.421600
-142.709000  14.588800
-144.546000  15.741900
-146.403000  16.879400
-148.283000  18.000000
-150.186000  19.102200
-152.115000  20.184700
-154.070000  21.245800
-156.054000  22.284000
-158.066000  23.297800
-160.110000  24.285600
-162.185000  25.245500
-164.292000  26.176100
-166.433000  27.075400
-168.608000  27.941900
-170.817000  28.773600
-173.061000  29.568800
-175.340000  30.325700
-177.653000  31.042500
-123.428000  -1.242690
-125.141000  -2.484260
-126.857000  -3.723620
-128.577000  -4.959640
-130.304000  -6.191190
-132.039000  -7.417130
-133.784000  -8.636320
-135.540000  -9.847560
-137.309000 -11.049700
-139.093000 -12.241400
-140.892000 -13.421600
-142.709000 -14.588800
-144.546000 -15.741900
-146.403000 -16.879400
-148.283000 -18.000000
-150.186000 -19.102200
-152.115000 -20.184700
-154.070000 -21.245800
-156.054000 -22.284000
-158.066000 -23.297800
-160.110000 -24.285600
-162.185000 -25.245500
-164.292000 -26.176100
-166.433000 -27.075400
-168.608000 -27.941900
-170.817000 -28.773600
-173.061000 -29.568800
-175.340000 -30.325700
-177.653000 -31.042500
119.603000   0.000000
117.488000   0.000000
115.374000   0.000000
113.259000   0.000000
111.145000   0.000000
109.030000   0.000000
106.916000   0.000000
104.801000   0.000000
102.687000   0.000000
100.572000   0.000000
 98.458000   0.000000
 96.343500   0.000000
 94.229000   0.000000
 92.114500   0.000000
 90.000000   0.000000
 87.885500   0.000000
 85.771000   0.000000
 83.656500   0.000000
 81.542000   0.000000
 79.427500   0.000000
 77.313000   0.000000
 75.198500   0.000000
 73.084000   0.000000
 70.969500   0.000000
 68.855000   0.000000
 66.740500   0.000000
 64.626000   0.000000
 62.511500   0.000000
 60.397000   0.000000
123.428000   1.242690
125.141000   2.484260
126.857000   3.723620
128.577000   4.959640
130.304000   6.191190
132.039000   7.417130
133.784000   8.636320
135.540000   9.847560
137.309000  11.049700
139.093000  12.241400
140.892000  13.421600
142.709000  14.588800
144.546000  15.741900
146.403000  16.879400
148.283000  18.000000
150.186000  19.102200
152.115000  20.184700
154.070000  21.245800
156.054000  22.284000
158.066000  23.297800
160.110000  24.285600
162.185000  25.245500
164.292000  26.176100
166.433000  27.075400
168.608000  27.941900
170.817000  28.773600
173.061000  29.568800
175.340000  30.325700
177.653000  31.042500
123.428000  -1.242690
125.141000  -2.484260
126.857000  -3.723620
128.577000  -4.959640
130.304000  -6.191190
132.039000  -7.417130
133.784000  -8.636320
135.540000  -9.847560
137.309000 -11.049700
139.093000 -12.241400
140.892000 -13.421600
142.709000 -14.588800
144.546000 -15.741900
146.403000 -16.879400
148.283000 -18.000000
150.186000 -19.102200
152.115000 -20.184700
154.070000 -21.245800
156.054000 -22.284000
158.066000 -23.297800
160.110000 -24.285600
162.185000 -25.245500
164.292000 -26.176100
166.433000 -27.075400
168.608000 -27.941900
170.817000 -28.773600
