# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
 66.211894   0.000000
 63.568771   0.000000
 60.925649   0.000000
123.856330   1.553228
125.998330   3.104290
128.146620   4.651009
130.304347   6.191190
132.474659   7.722609
134.660703   9.243003
136.865626  10.750062
139.092565  12.241417
141.344645  13.714636
143.624964  15.167213
145.936588  16.596560
148.282526  18.000000
150.665714  19.374764
153.088988  20.717986
155.555055  22.026697
158.066450  23.297828
160.625502  24.528214
163.234279  25.714593
165.894538  26.853620
168.607663  27.941879
171.374607  28.975897
174.195823  29.952171
177.071199  30.867190
123.856330  -1.553228
125.998330  -3.104290
128.146620  -4.651009
130.304347  -6.191190
132.474659  -7.722609
134.660703  -9.243003
136.865626 -10.750062
139.092565 -12.241417
141.344645 -13.714636
143.624964 -15.167213
145.936588 -16.596560
148.282526 -18.000000
150.665714 -19.374764
153.088988 -20.717986
155.555055 -22.026697
158.066450 -23.297828
160.625502 -24.528214
163.234279 -25.714593
165.894538 -26.853620
168.607663 -27.941879
171.374607 -28.975897
174.195823 -29.952171
177.071199 -30.867190
-56.143670   1.553228
-54.001670   3.104290
-51.853380   4.651009
-49.695653   6.191190
-47.525342   7.722609
-45.339297   9.243003
-43.134374  10.750062
-40.907435  12.241417
-38.655355  13.714636
-36.375036  15.167213
-34.063412  16.596560
-31.717474  18.000000
-29.334286  19.374764
-26.911012  20.717986
-24.444946  22.026697
-21.933550  23.297828
-19.374499  24.528214
-16.765721  25.714593
-14.105462  26.853620
-11.392337  27.941879
 -8.625392  28.975897
 -5.804177  29.952171
 -2.928801  30.867190
-56.143670  -1.553228
-54.001670  -3.104290
-51.853380  -4.651009
-49.695653  -6.191190
-47.525342  -7.722609
-45.339297  -9.243003
-43.134374 -10.750062
-40.907435 -12.241417
-38.655355 -13.714636
-36.375036 -15.167213
-34.063412 -16.596560
-31.717474 -18.000000
-29.334286 -19.374764
-26.911012 -20.717986
-24.444946 -22.026697
-21.933550 -23.297828
-19.374499 -24.528214
-16.765721 -25.714593
-14.105462 -26.853620
-11.392337 -27.941879
 -8.625392 -28.975897
 -5.804177 -29.952171
 -2.928801 -30.867190
 56.143670   1.553228
 54.001670   3.104290
 51.853380   4.651009
 49.695653   6.191190
 47.525342   7.722609
 45.339297   9.243003
 43.134374  10.750062
 40.907435  12.241417
 38.655355  13.714636
 36.375036  15.167213
 34.063412  16.596560
 31.717474  18.000000
 29.334286  19.374764
 26.911012  20.717986
 24.444945  22.026697
 21.933550  23.297828
 19.374499  24.528214
 16.765721  25.714593
 14.105462  26.853620
 11.392337  27.941879
  8.625393  28.975897
  5.804177  29.952171
  2.928801  30.867190
 56.143670  -1.553228
 54.001670  -3.104290
 51.853380  -4.651009
 49.695653  -6.191190
 47.525342  -7.722609
 45.339297  -9.243003
 43.134374 -10.750062
 40.907435 -12.241417
 38.655355 -13.714636
 36.375036 -15.167213
 34.063412 -16.596560
 31.717474 -18.000000
 29.334286 -19.374764
 26.911012 -20.717986
 24.444945 -22.026697
 21.933550 -23.297828
 19.374499 -24.528214
 16.765721 -25.714593
 14.105462 -26.853620
 11.392337 -27.941879
  8.625393 -28.975897
