 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
-110.33685   15.58109
 -85.84860  -25.14906
 -75.15563   20.99498
-114.92218   -5.90096
 -67.19083  -11.98787
 -98.80222   24.20804
-100.95478  -23.41284
 -66.17254   10.10862
-114.62213    8.01787
 -76.84126  -22.47077
 -83.45160   25.13082
-112.02217  -14.11329
 -64.24237   -3.78178
-107.06007   20.00737
 -91.77921  -26.05698
 -70.49987   17.79379
-116.20488   -0.61047
 -69.60840  -16.91273
 -93.15351   26.13293
-106.27264  -21.02375
 -64.04646    5.04897
-113.08263   13.29555
 -81.97231  -25.34296
 -77.61671   23.67537
-114.99046   -9.42184
 -64.90423   -9.26984
-102.62956   23.71622
 -97.92327  -25.62735
 -66.69940   13.61287
-116.41386    4.94980
 -73.21885  -21.32107
 -86.95900   26.77702
-110.87249  -17.49955
 -62.97167   -0.44799
-110.35472   18.25388
 -87.93808  -27.05421
 -72.29117   20.95291
-116.93086   -4.12399
 -66.72811  -14.62689
 -97.15219   26.43266
-103.84190  -23.84028
 -63.89089    8.65337
-115.49260   10.55820
 -78.00149  -24.93430
 -80.64885   26.03260
-114.54662  -13.02336
 -62.99958   -6.16577
-106.40421   22.62448
 -94.37668  -27.41649
 -67.77260   17.11070
-117.78911    1.56499
 -69.77367  -19.60046
 -90.88049   27.90935
-109.14595  -20.78451
 -62.14707    3.13073
-113.37713   15.97776
 -83.82229  -27.47308
 -74.67705   23.90816
-117.18106   -7.80772
 -64.18716  -11.87873
-101.26625   26.12077
-100.82464  -26.34554
 -64.24353   12.34887
-117.51733    7.42533
 -74.07080  -23.91345
 -84.21988   27.97290
-113.55955  -16.63057
 -61.51314   -2.73607
-110.00619   20.94838
 -90.38660  -28.69480
 -69.42270   20.52078
-118.71870   -2.07366
 -66.60182  -17.34413
 -95.10640   28.46005
-106.81884  -23.87978
 -61.79576    6.88924
-116.05639   13.22739
 -79.56666  -27.27129
 -77.66389   26.56535
-116.92679  -11.59337
 -62.03551   -8.72437
-105.35579   25.18370
 -97.24474  -28.44390
